Rank,Player,Avg Pick,Pos,Tm,Season
1,Adrian Peterson,5.05,RB,MIN,2013
2,Doug Martin,7.42,RB,TBB,2013
3,Arian Foster,8.17,RB,HOU,2013
4,Calvin Johnson,8.60,WR,DET,2013
5,Jamaal Charles,9.47,RB,KCC,2013
6,Ray Rice,10.59,RB,BAL,2013
7,LeSean McCoy,11.40,RB,PHI,2013
8,Trent Richardson,11.49,RB,IND,2013
9,C.J. Spiller,13.44,RB,BUF,2013
10,Marshawn Lynch,14.26,RB,SEA,2013
11,Matt Forte,16.56,RB,CHI,2013
12,Dez Bryant,17.20,WR,DAL,2013
13,A.J. Green,17.41,WR,CIN,2013
14,Brandon Marshall,19.76,WR,CHI,2013
15,Jimmy Graham,21.33,TE,NOS,2013
16,Julio Jones,21.59,WR,ATL,2013
17,Aaron Rodgers,21.64,QB,GBP,2013
18,Chris Johnson,22.71,RB,TEN,2013
19,Steven Jackson,23.57,RB,ATL,2013
20,Drew Brees,24.09,QB,NOS,2013
21,Alfred Morris,24.56,RB,WAS,2013
22,Demaryius Thomas,25.49,WR,DEN,2013
23,Reggie Bush,26.69,RB,DET,2013
24,Larry Fitzgerald,27.59,WR,ARI,2013
25,Maurice Jones-Drew,27.73,RB,JAC,2013
26,Andre Johnson,29.71,WR,HOU,2013
27,Roddy White,32.79,WR,ATL,2013
28,Stevan Ridley,32.81,RB,NEP,2013
29,Darren Sproles,34.77,RB,NOS,2013
30,Randall Cobb,35.03,WR,GBP,2013
31,David Wilson,36.40,RB,NYG,2013
32,DeMarco Murray,36.50,RB,DAL,2013
33,Victor Cruz,36.97,WR,NYG,2013
34,Peyton Manning,37.17,QB,DEN,2013
35,Frank Gore,37.67,RB,SFO,2013
36,Vincent Jackson,39.33,WR,TBB,2013
37,Darren McFadden,39.53,RB,OAK,2013
38,Wes Welker,41.46,WR,DEN,2013
39,Eddie Lacy,43.23,RB,GBP,2013
40,Rob Gronkowski,43.98,TE,NEP,2013
41,Lamar Miller,44.50,RB,MIA,2013
42,Dwayne Bowe,44.90,WR,KCC,2013
43,Marques Colston,45.38,WR,NOS,2013
44,Cam Newton,45.64,QB,CAR,2013
45,Tom Brady,45.77,QB,NEP,2013
46,Reggie Wayne,46.85,WR,IND,2013
47,Danny Amendola,47.05,WR,NEP,2013
48,Jason Witten,49.86,TE,DAL,2013
49,Hakeem Nicks,50.76,WR,NYG,2013
50,Montee Ball,50.94,RB,DEN,2013
51,Matt Ryan,51.61,QB,ATL,2013
52,Jordy Nelson,51.99,WR,GBP,2013
53,Giovani Bernard,52.13,RB,CIN,2013
54,Pierre Garcon,55.08,WR,WAS,2013
55,Ryan Mathews,55.86,RB,SDC,2013
56,Torrey Smith,56.95,WR,BAL,2013
57,Antonio Brown,57.95,WR,PIT,2013
58,Eric Decker,58.91,WR,DEN,2013
59,Mike Wallace,59.21,WR,MIA,2013
60,Vernon Davis,59.66,TE,SFO,2013
