Rank,Player,Avg Pick,Pos,Tm,Season
1,Todd Gurley,1.62,RB,LAR,2018
2,Le'Veon Bell,2.55,RB,PIT,2018
3,Ezekiel Elliott,3.90,RB,DAL,2018
4,David Johnson,4.33,RB,ARI,2018
5,Antonio Brown,5.69,WR,PIT,2018
6,Saquon Barkley,5.92,RB,NYG,2018
7,Alvin Kamara,8.81,RB,NOS,2018
8,DeAndre Hopkins,9.54,WR,HOU,2018
9,Leonard Fournette,10.03,RB,JAC,2018
10,Odell Beckham,10.91,WR,NYG,2018
11,Melvin Gordon,10.98,RB,LAC,2018
12,Kareem FA* RBHunt,11.82,RB,FA*,2018
13,Dalvin Cook,12.74,RB,MIN,2018
14,Julio Jones,13.05,WR,ATL,2018
15,Christian McCaffrey,14.61,RB,CAR,2018
16,Michael Thomas,16.43,WR,NOS,2018
17,Keenan Allen,17.51,WR,LAC,2018
18,Davante Adams,18.19,WR,GBP,2018
19,Devonta Freeman,19.63,RB,ATL,2018
20,A.J. Green,20.45,WR,CIN,2018
21,Rob Gronkowski,20.63,TE,NEP,2018
22,Joe Mixon,22.70,RB,CIN,2018
23,Mike Evans,23.66,WR,TBB,2018
24,Aaron Rodgers,24.82,QB,GBP,2018
25,Jordan Howard,25.49,RB,CHI,2018
26,Tyreek Hill,25.54,WR,KCC,2018
27,Travis Kelce,25.62,TE,KCC,2018
28,T.Y. Hilton,28.97,WR,IND,2018
29,LeSean McCoy,29.16,RB,BUF,2018
30,Stefon Diggs,29.31,WR,MIN,2018
31,Jarvis Landry,34.48,WR,CLE,2018
32,Amari Cooper,34.91,WR,DAL,2018
33,Larry Fitzgerald,35.14,WR,ARI,2018
34,Adam Thielen,35.84,WR,MIN,2018
35,Zach Ertz,38.74,TE,PHI,2018
36,Doug Baldwin,39.15,WR,SEA,2018
37,Kenyan Drake,39.53,RB,MIA,2018
38,Alex Collins,40.21,RB,BAL,2018
39,JuJu Smith-Schuster,40.33,WR,PIT,2018
40,Brandin Cooks,40.45,WR,LAR,2018
41,Royce Freeman,41.58,RB,DEN,2018
42,Deshaun Watson,41.85,QB,HOU,2018
43,Jay Ajayi,43.71,RB,PHI,2018
44,Tom Brady,45.02,QB,NEP,2018
