Rank,Player,Avg Pick,Pos,Tm,Season
1,Saquon Barkley,1.61,RB,NYG,2019
2,Christian McCaffrey,2.69,RB,CAR,2019
3,Alvin Kamara,3.83,RB,NOS,2019
4,Ezekiel Elliott,5.81,RB,DAL,2019
5,DeAndre Hopkins,5.83,WR,HOU,2019
6,Davante Adams,8.68,WR,GBP,2019
7,David Johnson,9.21,RB,ARI,2019
8,Le'Veon Bell,9.65,RB,NYJ,2019
9,Julio Jones,10.75,WR,ATL,2019
10,Michael Thomas,10.84,WR,NOS,2019
11,James Conner,11.50,RB,PIT,2019
12,Odell Beckham,13.05,WR,CLE,2019
13,Todd Gurley,13.65,RB,LAR,2019
14,Tyreek Hill,14.50,WR,KCC,2019
15,JuJu Smith-Schuster,15.11,WR,PIT,2019
16,Dalvin Cook,15.13,RB,MIN,2019
17,Travis Kelce,15.82,TE,KCC,2019
18,Nick Chubb,15.99,RB,CLE,2019
19,Patrick Mahomes,17.84,QB,KCC,2019
20,Joe Mixon,18.45,RB,CIN,2019
21,Mike Evans,20.61,WR,TBB,2019
22,Damien Williams,22.07,RB,KCC,2019
23,Leonard Fournette,22.83,RB,JAC,2019
24,Adam Thielen,25.78,WR,MIN,2019
25,Josh Jacobs,25.89,RB,OAK,2019
26,Stefon Diggs,27.16,WR,MIN,2019
27,Zach Ertz,27.20,TE,PHI,2019
28,Keenan Allen,27.30,WR,LAC,2019
29,Aaron Jones,29.46,RB,GBP,2019
30,Amari Cooper,30.80,WR,DAL,2019
31,Devonta Freeman,32.75,RB,ATL,2019
32,George Kittle,32.89,TE,SFO,2019
33,David Montgomery,33.12,RB,CHI,2019
34,Melvin Gordon,33.85,RB,LAC,2019
35,Brandin Cooks,34.99,WR,LAR,2019
36,Marlon Mack,36.73,RB,IND,2019
37,Derrick Henry,36.93,RB,TEN,2019
38,Deshaun Watson,37.73,QB,HOU,2019
39,T.Y. Hilton,37.74,WR,IND,2019
40,Julian Edelman,37.75,WR,NEP,2019
41,Chris Carson,37.87,RB,SEA,2019
42,Mark Ingram,40.39,RB,BAL,2019
43,Robert Woods,41.13,WR,LAR,2019
44,Tyler Lockett,42.65,WR,SEA,2019
45,Sony Michel,43.06,RB,NEP,2019
46,Aaron Rodgers,45.11,QB,GBP,2019
47,Chris Godwin,45.65,WR,TBB,2019
48,Kenny Golladay,47.80,WR,DET,2019
49,Phillip Lindsay,47.90,RB,DEN,2019
50,Calvin Ridley,48.95,WR,ATL,2019
51,Cooper Kupp,50.97,WR,LAR,2019
52,James White,51.05,RB,NEP,2019
53,Tyler Boyd,52.22,WR,CIN,2019
54,Mike Williams,55.03,WR,LAC,2019
55,O.J. Howard,55.52,TE,TBB,2019
56,Baker Mayfield,56.13,QB,CLE,2019
57,Jarvis Landry,56.88,WR,CLE,2019
58,Matt Ryan,59.34,QB,ATL,2019
59,Alshon Jeffery,59.88,WR,PHI,2019
60,Tarik Cohen,60.57,RB,CHI,2019
61,Miles Sanders,60.60,RB,PHI,2019
62,D.J. Moore,60.71,WR,CAR,2019
63,Evan Engram,60.83,TE,NYG,2019
64,Tevin Coleman,60.84,RB,SFO,2019
65,Derrius Guice,63.14,RB,WAS,2019
66,Hunter Henry,63.68,TE,LAC,2019
67,Allen Robinson,63.99,WR,CHI,2019
68,A.J. Green,64.48,WR,CIN,2019
69,Robby Anderson,66.54,WR,NYJ,2019
70,Austin Ekeler,66.99,RB,LAC,2019
71,Devin Bush,67.06,LB,PIT,2019
72,Corey Davis,69.08,WR,TEN,2019
73,Carson Wentz,70.94,QB,PHI,2019
74,Jared Cook,72.38,TE,NOS,2019
75,Darius Leonard,73.08,LB,IND,2019
76,Josh Gordon,73.11,WR,SEA,2019
77,Duke Johnson,74.18,RB,HOU,2019
78,Russell Wilson,75.31,QB,SEA,2019
79,Sterling Shepard,77.18,WR,NYG,2019
80,Jordan Howard,77.23,RB,PHI,2019
81,Drew Brees,77.35,QB,NOS,2019
82,Devin White,77.73,LB,TBB,2019
83,Will Fuller,78.29,WR,HOU,2019
84,Lamar Miller,79.22,RB,HOU,2019
85,Kenyan Drake,79.31,RB,ARI,2019
86,Bobby Wagner,80.10,LB,SEA,2019
87,Aaron Donald,81.41,DT,LAR,2019
88,J.J. Watt,81.66,DE,HOU,2019
89,Emmanuel Sanders,83.17,WR,SFO,2019
90,Dede Westbrook,84.25,WR,JAC,2019
91,Vance McDonald,84.41,TE,PIT,2019
92,Larry Fitzgerald,85.17,WR,ARI,2019
93,Khalil Mack,85.66,LB,CHI,2019
94,Rashaad Penny,85.91,RB,SEA,2019
95,Marvin Jones,86.63,WR,DET,2019
96,Cam Newton,86.97,QB,CAR,2019
97,Sammy Watkins,87.50,WR,KCC,2019
98,Eric Ebron,88.21,TE,IND,2019
99,Latavius Murray,88.52,RB,NOS,2019
100,Jared Goff,89.02,QB,LAR,2019
101,Courtland Sutton,89.31,WR,DEN,2019
102,Luke Kuechly,89.74,LB,FA,2019
