Rank,Player,Avg Pick,Pos,Tm,Season
1,Adrian Peterson,8.65,RB,MIN,2015
2,Eddie Lacy,9.99,RB,GBP,2015
3,Jamaal Charles,10.13,RB,KCC,2015
4,Le'Veon Bell,10.20,RB,PIT,2015
5,Antonio Brown,10.64,WR,PIT,2015
6,Dez Bryant,12.75,WR,DAL,2015
7,Julio Jones,12.98,WR,ATL,2015
8,Marshawn Lynch,14.67,RB,SEA,2015
9,Demaryius Thomas,15.58,WR,DEN,2015
10,Rob Gronkowski,17.42,TE,NEP,2015
11,Calvin Johnson,17.57,WR,DET,2015
12,Matt Forte,17.73,RB,CHI,2015
13,Andrew Luck,18.93,QB,IND,2015
14,A.J. Green,21.05,WR,CIN,2015
15,Aaron Rodgers,21.62,QB,GBP,2015
16,DeMarco Murray,21.68,RB,PHI,2015
17,Randall Cobb,24.02,WR,GBP,2015
18,LeSean McCoy,24.20,RB,BUF,2015
19,Melvin Gordon,28.90,RB,SDC,2015
20,T.Y. Hilton,29.03,WR,IND,2015
21,C.J. Anderson,29.73,RB,DEN,2015
22,Brandin Cooks,30.05,WR,NOS,2015
23,Odell Beckham,30.09,WR,NYG,2015
24,Alshon Jeffery,31.04,WR,CHI,2015
25,Jeremy Hill,32.29,RB,CIN,2015
26,Mike Evans,32.54,WR,TBB,2015
27,Frank Gore,32.65,RB,IND,2015
28,Jimmy Graham,32.94,TE,SEA,2015
29,Lamar Miller,32.95,RB,MIA,2015
30,Amari Cooper,33.42,WR,OAK,2015
31,Emmanuel Sanders,35.81,WR,DEN,2015
32,Justin Forsett,36.30,RB,BAL,2015
33,DeAndre Hopkins,36.93,WR,HOU,2015
34,Ameer Abdullah,37.72,RB,DET,2015
35,Jordan Matthews,40.10,WR,PHI,2015
36,Todd Gurley,40.30,RB,STL,2015
37,Mark Ingram,40.68,RB,NOS,2015
38,Alfred Morris,42.77,RB,WAS,2015
39,Andre Johnson,44.46,WR,IND,2015
40,Carlos Hyde,44.71,RB,SFO,2015
41,Golden Tate,45.13,WR,DET,2015
42,Keenan Allen,46.44,WR,SDC,2015
43,Joseph FA* RBRandle,46.77,RB,FA*,2015
44,Latavius Murray,46.86,RB,OAK,2015
45,Julian Edelman,47.19,WR,NEP,2015
46,T.J. Yeldon,47.90,RB,JAC,2015
