Rank,Player,Avg Pick,Pos,Tm,Season
1,Christian McCaffrey,1.13,RB,CAR,2020
2,Saquon Barkley,2.40,RB,NYG,2020
3,Ezekiel Elliott,3.32,RB,DAL,2020
4,Michael Thomas,5.67,WR,NOS,2020
5,Alvin Kamara,5.99,RB,NOS,2020
6,Dalvin Cook,6.60,RB,MIN,2020
7,Derrick Henry,7.22,RB,TEN,2020
8,Clyde Edwards-Helaire,7.96,RB,KCC,2020
9,Davante Adams,10.97,WR,GBP,2020
10,Patrick Mahomes,13.05,QB,KCC,2020
11,Lamar Jackson,13.75,QB,BAL,2020
12,Josh Jacobs,14.13,RB,LVR,2020
13,Aaron Jones,14.70,RB,GBP,2020
14,Julio Jones,14.92,WR,ATL,2020
15,Joe Mixon,14.95,RB,CIN,2020
16,Austin Ekeler,15.41,RB,LAC,2020
17,Travis Kelce,16.57,TE,KCC,2020
18,Tyreek Hill,16.76,WR,KCC,2020
19,Nick Chubb,17.57,RB,CLE,2020
20,DeAndre Hopkins,17.81,WR,ARI,2020
21,Miles Sanders,18.16,RB,PHI,2020
22,Kenyan Drake,18.29,RB,ARI,2020
23,George Kittle,23.36,TE,SFO,2020
24,Chris Godwin,24.01,WR,TBB,2020
25,Mike Evans,27.32,WR,TBB,2020
26,Kenny Golladay,28.23,WR,DET,2020
27,Todd Gurley,28.73,RB,ATL,2020
28,Amari Cooper,31.32,WR,DAL,2020
29,James Conner,32.56,RB,PIT,2020
30,Odell Beckham,33.14,WR,CLE,2020
31,Jonathan Taylor,33.57,RB,IND,2020
32,Adam Thielen,34.18,WR,MIN,2020
33,JuJu Smith-Schuster,34.38,WR,PIT,2020
34,Allen Robinson,35.00,WR,CHI,2020
35,David Johnson,35.47,RB,HOU,2020
36,Chris Carson,36.25,RB,SEA,2020
37,Leonard Fournette,36.42,RB,TBB,2020
38,Cooper Kupp,37.53,WR,LAR,2020
39,D.J. Moore,38.04,WR,CAR,2020
40,Le'Veon Bell,38.15,RB,KCC,2020
41,Deshaun Watson,40.09,QB,HOU,2020
42,Raheem Mostert,41.59,RB,SFO,2020
43,Dak Prescott,43.85,QB,DAL,2020
44,Calvin Ridley,43.92,WR,ATL,2020
45,Cam Akers,44.15,RB,LAR,2020
46,Robert Woods,44.46,WR,LAR,2020
47,Zach Ertz,45.11,TE,PHI,2020
48,Mark Andrews,45.22,TE,BAL,2020
49,Melvin Gordon,46.47,RB,DEN,2020
50,Mark Ingram,46.63,RB,FA,2020
51,A.J. Brown,46.82,WR,TEN,2020
52,Tyler Lockett,47.74,WR,SEA,2020
53,Keenan Allen,48.46,WR,LAC,2020
54,Russell Wilson,49.45,QB,SEA,2020
55,Devin Singletary,53.43,RB,BUF,2020
56,DK Metcalf,54.16,WR,SEA,2020
57,Courtland Sutton,55.69,WR,DEN,2020
58,D.J. Chark,55.77,WR,JAC,2020
59,Terry McLaurin,57.05,WR,WAS,2020
60,Kyler Murray,57.11,QB,ARI,2020
61,Stefon Diggs,57.70,WR,BUF,2020
62,Kareem Hunt,58.23,RB,CLE,2020
63,DeVante Parker,61.60,WR,MIA,2020
64,Darren Waller,61.82,TE,LVR,2020
65,A.J. Green,61.90,WR,CIN,2020
66,T.Y. Hilton,62.09,WR,IND,2020
67,Jarvis Landry,67.20,WR,CLE,2020
68,D'Andre Swift,67.29,RB,DET,2020
69,Darius Leonard,69.84,LB,IND,2020
70,J.K. Dobbins,69.98,RB,BAL,2020
71,Tyler Boyd,69.98,WR,CIN,2020
72,Michael Gallup,70.36,WR,DAL,2020
73,Marquise Brown,72.57,WR,BAL,2020
74,Julian Edelman,72.68,WR,NEP,2020
75,David Montgomery,74.75,RB,CHI,2020
76,James White,76.21,RB,NEP,2020
77,Evan Engram,76.32,TE,NYG,2020
78,Matt Ryan,76.37,QB,ATL,2020
79,Rob Gronkowski,77.35,TE,TBB,2020
80,Brandin Cooks,77.60,WR,HOU,2020
81,Antonio Gibson,78.07,RB,WAS,2020
82,Drew Brees,78.73,QB,NOS,2020
83,Will Fuller,80.35,WR,HOU,2020
84,Josh Allen,81.05,QB,BUF,2020
85,Tom Brady,81.63,QB,TBB,2020
86,Tarik Cohen,83.75,RB,CHI,2020
87,Jared Cook,84.43,TE,NOS,2020
88,Jordan Howard,86.97,RB,PHI,2020
89,Marvin Jones,87.27,WR,DET,2020
90,CeeDee Lamb,87.33,WR,DAL,2020
91,Aaron Rodgers,87.70,QB,GBP,2020
92,Bobby Wagner,89.42,LB,SEA,2020
93,Ronald Jones,89.93,RB,TBB,2020
94,Hayden Hurst,90.85,TE,ATL,2020
95,Chase Young,90.96,DE,WAS,2020
96,Hunter Henry,93.17,TE,LAC,2020
97,Zack Moss,93.61,RB,BUF,2020
98,Jerry Jeudy,93.79,WR,DEN,2020
99,Carson Wentz,95.14,QB,PHI,2020
100,Patrick Queen,95.23,LB,BAL,2020
101,Tyler Higbee,95.51,TE,LAR,2020
102,Kerryon Johnson,95.60,RB,DET,2020
103,Deebo Samuel,97.38,WR,SFO,2020
104,Jaylon Smith,98.02,LB,DAL,2020
105,Diontae Johnson,98.47,WR,PIT,2020
106,Marlon Mack,98.68,RB,IND,2020
107,Phillip Lindsay,99.32,RB,DEN,2020
108,Austin Hooper,99.61,TE,CLE,2020
109,Sterling Shepard,99.74,WR,NYG,2020
110,Christian Kirk,99.85,WR,ARI,2020
111,Budda ARI SBaker,100.80,S,ARI,2020
112,Nick Bosa,101.52,DE,SFO,2020
113,Emmanuel Sanders,101.57,WR,NOS,2020
114,Henry Ruggs,101.59,WR,LVR,2020
115,Isaiah Simmons,104.53,LB,ARI,2020
116,Joey Bosa,104.90,DE,LAC,2020
117,Aaron Donald,106.01,DT,LAR,2020
