Rank,Player,Avg Pick,Pos,Tm,Season
1,Antonio Brown,4.55,WR,PIT,2016
2,Julio Jones,6.25,WR,ATL,2016
3,Ezekiel Elliott,7.52,RB,DAL,2016
4,A.J. Green,9.49,WR,CIN,2016
5,Todd Gurley,10.41,RB,RAM,2016
6,DeAndre Hopkins,12.67,WR,HOU,2016
7,Dez Bryant,13.24,WR,DAL,2016
8,Odell Beckham,13.81,WR,NYG,2016
9,Adrian Peterson,13.94,RB,MIN,2016
10,Rob Gronkowski,15.39,TE,NEP,2016
11,Lamar Miller,16.11,RB,HOU,2016
12,Le'Veon Bell,16.62,RB,PIT,2016
13,Allen Robinson,18.41,WR,JAC,2016
14,David Johnson,18.56,RB,ARI,2016
15,Brandon Marshall,20.42,WR,NYJ,2016
16,Keenan Allen,20.73,WR,SDC,2016
17,Mike Evans,21.70,WR,TBB,2016
18,Jamaal Charles,22.23,RB,KCC,2016
19,Amari Cooper,22.94,WR,OAK,2016
20,Alshon Jeffery,25.14,WR,CHI,2016
21,Devonta Freeman,25.59,RB,ATL,2016
22,Brandin Cooks,25.71,WR,NOS,2016
23,Eddie Lacy,27.21,RB,GBP,2016
24,T.Y. Hilton,27.62,WR,IND,2016
25,Jordy Nelson,28.78,WR,GBP,2016
26,LeSean McCoy,28.83,RB,BUF,2016
27,Mark Ingram,28.89,RB,NOS,2016
28,Sammy Watkins,30.18,WR,BUF,2016
29,Demaryius Thomas,31.30,WR,DEN,2016
30,Doug Martin,31.68,RB,TBB,2016
31,Cam Newton,32.47,QB,CAR,2016
32,Randall Cobb,34.62,WR,GBP,2016
33,Jarvis Landry,34.66,WR,MIA,2016
34,Aaron Rodgers,35.42,QB,GBP,2016
35,C.J. Anderson,40.05,RB,DEN,2016
36,Julian Edelman,41.88,WR,NEP,2016
37,Golden Tate,41.99,WR,DET,2016
38,Carlos Hyde,42.27,RB,SFO,2016
39,Jeremy Maclin,43.12,WR,KCC,2016
40,Jordan Reed,44.33,TE,WAS,2016
41,Matt Forte,44.85,RB,NYJ,2016
42,Kelvin Benjamin,45.53,WR,CAR,2016
43,Latavius Murray,45.87,RB,OAK,2016
44,Donte Moncrief,47.10,WR,IND,2016
45,Greg Olsen,47.25,TE,CAR,2016
46,DeMarco Murray,47.53,RB,TEN,2016
47,Andrew Luck,48.01,QB,IND,2016
48,Eric Decker,48.99,WR,NYJ,2016
49,Thomas Rawls,49.64,RB,SEA,2016
50,Russell Wilson,50.04,QB,SEA,2016
51,Doug Baldwin,50.79,WR,SEA,2016
52,Michael Floyd,52.37,WR,NEP,2016
53,Larry Fitzgerald,55.10,WR,ARI,2016
54,Jordan Matthews,58.06,WR,PHI,2016
55,Jeremy Hill,58.28,RB,CIN,2016
56,Drew Brees,59.19,QB,NOS,2016
57,Travis Kelce,60.17,TE,KCC,2016
58,Jeremy Langford,60.49,RB,CHI,2016
59,Duke Johnson,62.80,RB,CLE,2016
60,Emmanuel Sanders,64.73,WR,DEN,2016
61,Giovani Bernard,65.37,RB,CIN,2016
62,Danny Woodhead,65.93,RB,SDC,2016
63,Melvin Gordon,66.03,RB,SDC,2016
64,Ryan Mathews,66.37,RB,PHI,2016
65,Tyler Lockett,66.55,WR,SEA,2016
66,Luke Kuechly,66.91,LB,CAR,2016
67,Jonathan Stewart,67.78,RB,CAR,2016
68,Marvin Jones,68.83,WR,DET,2016
69,Coby Fleener,69.01,TE,NOS,2016
70,Delanie Walker,69.13,TE,TEN,2016
71,John Brown,69.93,WR,ARI,2016
72,Ben Roethlisberger,70.46,QB,PIT,2016
73,Arian Foster,70.55,RB,FA,2016
74,Allen Hurns,70.86,WR,JAC,2016
75,DeVante Parker,70.91,WR,MIA,2016
76,Josh Gordon,71.75,WR,CLE,2016
77,Sterling Shepard,71.83,WR,NYG,2016
78,J.J. Watt,71.87,DE,HOU,2016
79,Tom Brady,75.33,QB,NEP,2016
80,Matt Jones,76.74,RB,WAS,2016
81,Michael Crabtree,76.75,WR,OAK,2016
82,DeSean Jackson,77.67,WR,WAS,2016
