Rank,Player,Avg Pick,Pos,Tm,Season
1,LeSean McCoy,4.52,RB,PHI,2014
2,Jamaal Charles,5.42,RB,KCC,2014
3,Calvin Johnson,7.19,WR,DET,2014
4,Matt Forte,8.02,RB,CHI,2014
5,Eddie Lacy,11.32,RB,GBP,2014
6,Jimmy Graham,11.41,TE,NOS,2014
7,Demaryius Thomas,11.47,WR,DEN,2014
8,Dez Bryant,12.74,WR,DAL,2014
9,A.J. Green,13.90,WR,CIN,2014
10,Julio Jones,16.31,WR,ATL,2014
11,Brandon Marshall,16.82,WR,CHI,2014
12,Peyton Manning,17.33,QB,DEN,2014
13,Marshawn Lynch,18.59,RB,SEA,2014
14,Montee Ball,19.83,RB,DEN,2014
15,DeMarco Murray,20.19,RB,DAL,2014
16,Giovani Bernard,21.27,RB,CIN,2014
17,Aaron Rodgers,22.47,QB,GBP,2014
18,Antonio Brown,23.27,WR,PIT,2014
19,Jordy Nelson,23.42,WR,GBP,2014
20,Drew Brees,24.36,QB,NOS,2014
21,Doug Martin,26.03,RB,TBB,2014
22,Arian Foster,26.11,RB,HOU,2014
23,Le'Veon Bell,26.34,RB,PIT,2014
24,Alshon Jeffery,27.41,WR,CHI,2014
25,Randall Cobb,29.07,WR,GBP,2014
26,Rob Gronkowski,29.19,TE,NEP,2014
27,Julius Thomas,34.40,TE,DEN,2014
28,Andre Ellington,36.47,RB,ARI,2014
29,Keenan Allen,36.69,WR,SDC,2014
30,Alfred Morris,36.91,RB,WAS,2014
31,Reggie Bush,37.35,RB,DET,2014
32,Pierre Garcon,37.60,WR,WAS,2014
33,Zac Stacy,37.80,RB,STL,2014
34,Andre Johnson,39.67,WR,HOU,2014
35,Vincent Jackson,40.39,WR,TBB,2014
36,C.J. Spiller,40.45,RB,BUF,2014
37,Victor Cruz,40.73,WR,NYG,2014
38,Larry Fitzgerald,42.64,WR,ARI,2014
39,Cordarrelle Patterson,44.54,WR,MIN,2014
40,Andrew Luck,44.97,QB,IND,2014
41,Shane Vereen,45.05,RB,NEP,2014
42,Roddy White,45.67,WR,ATL,2014
43,Matthew Stafford,46.60,QB,DET,2014
44,Michael Floyd,50.14,WR,ARI,2014
45,Michael Crabtree,50.71,WR,SFO,2014
46,Percy Harvin,50.72,WR,NYJ,2014
47,Ryan Mathews,51.84,RB,SDC,2014
