Rank,Player,Avg Pick,Pos,Tm,Season
1,Le'Veon Bell,4.98,RB,PIT,2017
2,Antonio Brown,6.12,WR,PIT,2017
3,Julio Jones,7.33,WR,ATL,2017
4,David Johnson,9.21,RB,ARI,2017
5,Mike Evans,10.58,WR,TBB,2017
6,LeSean McCoy,10.78,RB,BUF,2017
7,A.J. Green,11.39,WR,CIN,2017
8,Odell Beckham,11.89,WR,NYG,2017
9,Devonta Freeman,13.88,RB,ATL,2017
10,Melvin Gordon,14.29,RB,LAC,2017
11,Jordy Nelson,17.09,WR,GBP,2017
12,Ezekiel Elliott,19.15,RB,DAL,2017
13,Amari Cooper,19.24,WR,OAK,2017
14,DeMarco Murray,19.78,RB,TEN,2017
15,Todd Gurley,20.97,RB,LAR,2017
16,Dez Bryant,21.00,WR,DAL,2017
17,Leonard Fournette,21.21,RB,JAC,2017
18,Michael Thomas,21.87,WR,NOS,2017
19,Rob Gronkowski,22.07,TE,NEP,2017
20,Aaron Rodgers,22.51,QB,GBP,2017
21,Jay Ajayi,22.62,RB,PHI,2017
22,Christian McCaffrey,23.21,RB,CAR,2017
23,Brandin Cooks,24.04,WR,NEP,2017
24,T.Y. Hilton,24.18,WR,IND,2017
25,Jordan Howard,26.58,RB,CHI,2017
26,Dalvin Cook,27.05,RB,MIN,2017
27,Doug Baldwin,28.02,WR,SEA,2017
28,DeAndre Hopkins,30.06,WR,HOU,2017
29,Tom Brady,30.79,QB,NEP,2017
30,Lamar Miller,32.44,RB,HOU,2017
31,Demaryius Thomas,32.47,WR,DEN,2017
32,Keenan Allen,34.20,WR,LAC,2017
33,Marshawn Lynch,35.34,RB,OAK,2017
34,Joe Mixon,35.52,RB,CIN,2017
35,Travis Kelce,36.03,TE,KCC,2017
36,Isaiah Crowell,37.88,RB,CLE,2017
37,Alshon Jeffery,39.40,WR,PHI,2017
38,Terrelle Pryor,41.60,WR,WAS,2017
39,Drew Brees,43.26,QB,NOS,2017
40,Carlos Hyde,44.08,RB,SFO,2017
41,Allen Robinson,44.13,WR,JAC,2017
42,Ty Montgomery,46.33,RB,GBP,2017
43,Michael Crabtree,46.82,WR,OAK,2017
44,Davante Adams,47.50,WR,GBP,2017
45,Golden Tate,47.52,WR,DET,2017
46,Tyreek Hill,47.52,WR,KCC,2017
47,Larry Fitzgerald,51.33,WR,ARI,2017
48,Greg Olsen,51.47,TE,CAR,2017
49,Jarvis Landry,52.21,WR,MIA,2017
50,Jordan Reed,53.05,TE,WAS,2017
51,Kelvin Benjamin,53.95,WR,BUF,2017
52,Sammy Watkins,54.80,WR,LAR,2017
53,Kareem Hunt,56.39,RB,KCC,2017
54,Stefon Diggs,56.39,WR,MIN,2017
55,Martavis Bryant,56.48,WR,PIT,2017
56,Mark Ingram,56.72,RB,NOS,2017
57,C.J. Anderson,57.70,RB,DEN,2017
58,Ameer Abdullah,57.88,RB,DET,2017
59,Matt Ryan,60.32,QB,ATL,2017
60,Jimmy Graham,61.09,TE,SEA,2017
61,Russell Wilson,62.78,QB,SEA,2017
62,Jamison Crowder,65.52,WR,WAS,2017
63,Bilal Powell,65.74,RB,NYJ,2017
64,Emmanuel Sanders,65.75,WR,DEN,2017
65,DeVante Parker,67.03,WR,MIA,2017
66,Willie Snead,68.18,WR,NOS,2017
67,Doug Martin,69.68,RB,TBB,2017
68,Danny Woodhead,70.18,RB,BAL,2017
69,Brandon Marshall,71.21,WR,NYG,2017
70,Tevin Coleman,72.10,RB,ATL,2017
71,Tyler Eifert,72.34,TE,CIN,2017
72,J.J. Watt,76.90,DE,HOU,2017
73,Adrian Peterson,77.26,RB,ARI,2017
74,Mike Gillislee,77.32,RB,NEP,2017
75,Luke Kuechly,77.35,LB,CAR,2017
76,Derek Carr,78.82,QB,OAK,2017
77,Pierre Garcon,79.11,WR,SFO,2017
78,Jameis Winston,79.26,QB,TBB,2017
79,Derrick Henry,79.60,RB,TEN,2017
80,Kyle Rudolph,82.31,TE,MIN,2017
81,Marcus Mariota,82.77,QB,TEN,2017
82,Cam Newton,82.96,QB,CAR,2017
83,Delanie Walker,83.86,TE,TEN,2017
84,Andrew Luck,84.05,QB,IND,2017
85,Zach Ertz,84.10,TE,PHI,2017
86,DeSean Jackson,85.56,WR,TBB,2017
87,Kirk Cousins,86.67,QB,WAS,2017
88,Landon NYG SCollins,87.05,S,NYG,2017
89,Randall Cobb,87.19,WR,GBP,2017
90,Martellus Bennett,88.72,TE,NEP,2017
91,Khalil Mack,88.92,LB,OAK,2017
92,Jeremy Maclin,90.10,WR,BAL,2017
93,Donte Moncrief,90.21,WR,IND,2017
94,Paul Perkins,90.28,RB,NYG,2017
95,Bobby Wagner,91.60,LB,SEA,2017
96,Corey Davis,91.66,WR,TEN,2017
97,Frank Gore,91.73,RB,IND,2017
98,Kwon Alexander,93.58,LB,TBB,2017
99,Darren McFadden,94.79,RB,FA,2017
100,Tyrell Williams,94.98,WR,LAC,2017
101,Theo Riddick,96.21,RB,DET,2017
102,Jarrad Davis,96.24,LB,DET,2017
103,Eddie Lacy,96.75,RB,SEA,2017
104,LeGarrette Blount,96.80,RB,PHI,2017
105,Hunter Henry,97.29,TE,LAC,2017
106,Ben Roethlisberger,97.65,QB,PIT,2017
107,Eric Decker,98.42,WR,TEN,2017
108,Joey Bosa,98.53,DE,LAC,2017
109,Dak Prescott,98.66,QB,DAL,2017
110,Rob Kelley,99.04,RB,WAS,2017
111,Terrance West,99.77,RB,BAL,2017
112,Duke Johnson,101.53,RB,CLE,2017
113,Myles Garrett,103.56,DE,CLE,2017
114,Reuben Foster,104.08,LB,SFO,2017
115,Alec Ogletree,104.82,LB,LAR,2017
