Rank,Player,Avg Pick,Pos,Tm,Season
1,Christian McCaffrey,1.29,RB,CAR,2021
2,Dalvin Cook,2.57,RB,MIN,2021
3,Alvin Kamara,3.69,RB,NOS,2021
4,Derrick Henry,4.34,RB,TEN,2021
5,Davante Adams,7.25,WR,GBP,2021
6,Ezekiel Elliott,7.29,RB,DAL,2021
7,Aaron Jones,8.88,RB,GBP,2021
8,Tyreek Hill,9.76,WR,KCC,2021
9,Travis Kelce,10.61,TE,KCC,2021
10,Nick Chubb,10.88,RB,CLE,2021
11,Saquon Barkley,11.76,RB,NYG,2021
12,Austin Ekeler,12.41,RB,LAC,2021
13,Jonathan Taylor,12.96,RB,IND,2021
14,Stefon Diggs,13.70,WR,BUF,2021
15,Najee Harris,15.69,RB,PIT,2021
16,Patrick Mahomes,17.41,QB,KCC,2021
17,DeAndre Hopkins,17.84,WR,ARI,2021
18,DK Metcalf,18.14,WR,SEA,2021
19,Calvin Ridley,18.18,WR,ATL,2021
20,Antonio Gibson,20.67,RB,WAS,2021
21,Joe Mixon,21.04,RB,CIN,2021
22,Darren Waller,24.03,TE,LVR,2021
23,Clyde Edwards-Helaire,24.06,RB,KCC,2021
24,Keenan Allen,24.74,WR,LAC,2021
25,Justin Jefferson,25.30,WR,MIN,2021
26,A.J. Brown,27.56,WR,TEN,2021
27,Josh Allen,28.72,QB,BUF,2021
28,George Kittle,30.23,TE,SFO,2021
29,Chris Carson,30.90,RB,SEA,2021
30,Mike Evans,32.11,WR,TBB,2021
31,David Montgomery,33.40,RB,CHI,2021
32,Terry McLaurin,33.60,WR,WAS,2021
33,Allen Robinson,34.04,WR,CHI,2021
34,CeeDee Lamb,35.66,WR,DAL,2021
35,Josh Jacobs,35.98,RB,LVR,2021
36,Miles Sanders,36.28,RB,PHI,2021
37,Lamar Jackson,37.90,QB,BAL,2021
38,Kyler Murray,38.02,QB,ARI,2021
39,Robert Woods,38.23,WR,LAR,2021
40,Chris Godwin,38.41,WR,TBB,2021
41,James Robinson,39.44,RB,JAC,2021
42,D'Andre Swift,40.94,RB,DET,2021
43,Amari Cooper,44.01,WR,DAL,2021
44,Myles Gaskin,44.65,RB,MIA,2021
45,Julio Jones,45.22,WR,TEN,2021
46,Kyle Pitts,45.49,TE,ATL,2021
47,Adam Thielen,46.63,WR,MIN,2021
48,Russell Wilson,48.76,QB,SEA,2021
49,Aaron Rodgers,48.77,QB,GBP,2021
50,Cooper Kupp,49.03,WR,LAR,2021
51,D.J. Moore,50.06,WR,CAR,2021
52,Diontae Johnson,51.47,WR,PIT,2021
53,Tyler Lockett,52.02,WR,SEA,2021
54,Dak Prescott,52.89,QB,DAL,2021
55,Mike Davis,53.87,RB,ATL,2021
56,Mark Andrews,54.30,TE,BAL,2021
57,Chase Edmonds,54.77,RB,ARI,2021
58,J.K. Dobbins,55.37,RB,BAL,2021
59,Kareem Hunt,56.67,RB,CLE,2021
60,Justin Herbert,58.58,QB,LAC,2021
61,Darrell Henderson,60.16,RB,LAR,2021
62,Raheem Mostert,60.54,RB,SFO,2021
63,Javonte Williams,60.65,RB,DEN,2021
64,Ja'Marr Chase,61.09,WR,CIN,2021
65,T.J. Hockenson,61.28,TE,DET,2021
66,Brandon Aiyuk,63.77,WR,SFO,2021
67,JuJu Smith-Schuster,65.02,WR,PIT,2021
68,Tom Brady,65.90,QB,TBB,2021
69,Tee Higgins,66.88,WR,CIN,2021
70,Damien Harris,67.05,RB,NEP,2021
71,Odell Beckham,69.04,WR,LAR,2021
72,Gus Edwards,72.27,RB,BAL,2021
73,Jerry Jeudy,73.29,WR,DEN,2021
74,Devin White,73.76,LB,TBB,2021
75,Chase Claypool,73.95,WR,PIT,2021
76,Melvin Gordon,74.36,RB,DEN,2021
77,Michael Thomas,74.67,WR,NOS,2021
78,Trey Sermon,74.96,RB,SFO,2021
79,Leonard Fournette,75.63,RB,TBB,2021
80,Logan Thomas,76.70,TE,WAS,2021
81,Courtland Sutton,76.96,WR,DEN,2021
82,Tyler Boyd,78.42,WR,CIN,2021
83,Brandin Cooks,78.48,WR,HOU,2021
84,Kenny Golladay,78.60,WR,NYG,2021
85,Robby Anderson,79.82,WR,CAR,2021
86,Travis Etienne,80.75,RB,JAC,2021
87,Darius Leonard,81.02,LB,IND,2021
88,Ryan Tannehill,81.97,QB,TEN,2021
89,Micah Parsons,82.36,LB,DAL,2021
90,Matthew Stafford,83.99,QB,LAR,2021
91,DeVonta Smith,87.56,WR,PHI,2021
92,Robert Tonyan,87.72,TE,GBP,2021
93,Deebo Samuel,88.31,WR,SFO,2021
94,Ronald Jones,88.83,RB,TBB,2021
95,Roquan Smith,89.20,LB,CHI,2021
96,Jarvis Landry,90.50,WR,CLE,2021
97,Jalen Hurts,90.95,QB,PHI,2021
98,Corey Davis,91.99,WR,NYJ,2021
99,Michael Carter,94.30,RB,NYJ,2021
100,Laviska Shenault,96.87,WR,JAC,2021
101,Antonio Brown,97.06,WR,FA,2021
102,Chase Young,97.29,DE,WAS,2021
103,Noah Fant,97.31,TE,DEN,2021
104,D.J. Chark,97.76,WR,JAC,2021
105,Dallas Goedert,99.37,TE,PHI,2021
106,Aaron Donald,101.99,DT,LAR,2021
107,Blake Martinez,102.14,LB,NYG,2021
108,Jamal SEA SAdams,102.39,S,SEA,2021
109,James Conner,102.51,RB,ARI,2021
110,Budda ARI SBaker,103.00,S,ARI,2021
111,Mike Gesicki,104.54,TE,MIA,2021
112,Myles Garrett,105.48,DE,CLE,2021
113,Tyler Higbee,105.57,TE,LAR,2021
114,Devin Singletary,105.60,RB,BUF,2021
115,Jaylen Waddle,105.64,WR,MIA,2021
116,Zach Cunningham,106.29,LB,TEN,2021
117,"Rams, Los Angeles LAR Def",107.47,Def,LAR,2021
118,Cole Beasley,107.52,WR,BUF,2021
119,Joe Burrow,107.91,QB,CIN,2021
120,Bobby Wagner,108.50,LB,SEA,2021
121,Zack Moss,109.28,RB,BUF,2021
