Player,Season,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
Tory Carter,2021,TEN,,22,8,2,0,0,0,0,0,0,0,0,0,0,,0,0,0
Ryan Tannehill,2021,TEN,QB,33,17,17,0,0,3734,21,531,270,7,55,0,0,268,14,10,4
Carson Wentz,2021,IND,QB,29,17,17,0,0,3563,27,516,215,1,57,0,0,258,7,8,5
Derek Carr,2021,LVR,QB,30,17,17,0,0,4804,23,626,108,0,40,0,0,257,14,13,5
Russell Wilson,2021,SEA,QB,33,14,14,0,0,3113,25,400,183,2,43,0,0,243,6,6,1
Lamar Jackson,2021,BAL,QB,24,12,12,0,0,2882,16,382,767,2,133,0,0,240,13,6,3
Jimmy Garoppolo,2021,SFO,QB,30,15,15,0,0,3810,20,441,51,3,38,0,0,228,12,8,3
Mac Jones,2021,NWE,QB,23,17,17,0,0,3801,22,521,129,0,44,0,0,225,13,7,3
Matt Ryan,2021,ATL,QB,36,17,17,0,0,3968,20,560,82,1,40,0,0,223,12,11,4
Taylor Heinicke,2021,WAS,QB,28,16,15,1,1,3419,20,494,313,1,60,-2,0,222,15,7,2
Ben Roethlisberger,2021,PIT,QB,39,16,16,0,0,3740,22,605,5,1,20,0,0,218,10,11,5
Teddy Bridgewater,2021,DEN,QB,29,14,14,0,0,3052,18,426,106,2,30,0,0,203,7,1,1
Trevor Lawrence,2021,JAX,QB,22,17,17,0,0,3641,12,602,334,2,73,0,0,199,17,9,5
Jared Goff,2021,DET,QB,27,14,14,0,0,3245,19,494,87,0,17,0,0,195,8,9,6
Baker Mayfield,2021,CLE,QB,26,14,14,0,0,3010,17,418,134,1,37,11,0,181,13,6,3
Tua Tagovailoa,2021,MIA,QB,23,13,12,0,0,2653,16,388,128,3,42,0,0,181,10,9,1
Daniel Jones,2021,NYG,QB,24,11,11,1,1,2428,10,361,298,2,62,16,0,167,7,7,3
Sam Darnold,2021,CAR,QB,24,12,11,0,0,2527,9,406,222,5,48,0,0,157,13,9,4
Davis Mills,2021,HOU,QB,23,13,11,0,0,2664,16,394,44,0,18,0,0,157,10,5,1
Zach Wilson,2021,NYJ,QB,22,13,13,1,0,2334,9,383,185,4,29,0,0,152,11,5,1
James Robinson,2021,JAX,RB,23,14,13,46,31,0,0,0,767,8,164,222,0,143,0,4,2
Darrell Henderson,2021,LAR,RB,24,12,10,40,29,0,0,0,688,5,149,176,3,134,0,0,0
Justin Fields,2021,CHI,QB,22,12,10,0,0,1870,7,270,420,2,72,0,0,127,10,12,5
Myles Gaskin,2021,MIA,RB,24,17,10,63,49,0,0,0,612,3,173,234,4,125,0,2,1
Sony Michel,2021,LAR,RB,26,17,7,33,21,0,0,0,845,4,208,128,1,125,0,1,1
Tony Pollard,2021,DAL,RB,24,15,0,46,39,0,0,0,719,2,130,337,0,124,0,2,0
DeVonta Smith,2021,PHI,WR,23,17,16,104,64,0,0,0,0,0,0,916,5,122,0,1,1
A.J. Brown,2021,TEN,WR,24,13,13,105,63,0,0,2,10,0,2,869,5,118,0,0,0
Michael Carter,2021,NYJ,RB,22,14,11,55,36,0,0,0,639,4,147,325,0,118,0,1,1
Taysom Hill,2021,NOR,QB,31,12,9,6,4,978,4,134,374,5,70,52,0,118,5,2,0
Van Jefferson,2021,LAR,WR,25,17,17,89,50,0,0,0,20,0,2,802,6,118,0,0,0
Tyler Boyd,2021,CIN,WR,27,16,10,94,67,46,0,1,22,0,2,828,5,117,0,1,0
Jameis Winston,2021,NOR,QB,27,7,7,0,0,1170,14,161,166,1,32,0,0,117,3,2,1
Rashaad Penny,2021,SEA,RB,25,10,6,8,6,0,0,0,749,6,119,48,0,116,0,0,0
Brandon Aiyuk,2021,SFO,WR,23,17,16,84,56,0,0,0,17,0,5,826,5,114,0,2,1
Devonta Freeman,2021,BAL,RB,29,16,8,42,34,0,0,0,576,5,133,190,1,113,0,0,0
Chuba Hubbard,2021,CAR,RB,22,17,10,37,25,0,0,0,612,5,172,174,1,113,0,1,1
K.J. Osborn,2021,MIN,WR,24,17,9,82,50,0,0,0,10,0,1,655,7,109,0,0,0
Saquon Barkley,2021,NYG,RB,24,13,13,57,41,0,0,0,593,2,162,263,2,108,0,2,1
Chase Claypool,2021,PIT,WR,23,15,13,105,59,0,0,0,96,0,14,860,2,108,0,0,0
Marvin Jones,2021,JAX,WR,31,17,16,120,73,0,0,0,0,0,0,832,4,107,0,0,0
Marquez Callaway,2021,NOR,WR,23,17,11,84,46,0,0,0,0,0,0,698,6,106,0,0,0
DeAndre Hopkins,2021,ARI,WR,29,10,10,64,42,0,0,0,0,0,0,572,8,105,0,0,0
Devontae Booker,2021,NYG,RB,29,16,4,45,40,0,0,0,593,2,145,268,1,104,0,0,0
A.J. Green,2021,ARI,WR,33,16,9,92,54,0,0,0,0,0,0,848,3,103,0,0,0
Allen Lazard,2021,GNB,WR,26,15,13,60,40,0,0,0,32,0,3,513,8,103,0,0,0
Jakobi Meyers,2021,NWE,WR,25,17,16,126,83,45,0,2,9,0,1,866,2,103,0,1,1
Tim Patrick,2021,DEN,WR,28,16,16,85,53,0,0,0,0,0,0,734,5,103,0,0,0
Cedrick Wilson Jr.,2021,DAL,WR,26,16,4,61,45,88,0,3,11,0,2,602,6,103,0,3,0
Rhamondre Stevenson,2021,NWE,RB,23,12,2,18,14,0,0,0,606,5,133,123,0,101,0,2,1
Chase Edmonds,2021,ARI,RB,25,12,11,53,43,0,0,0,592,2,116,311,0,100,0,1,1
Clyde Edwards-Helaire,2021,KAN,RB,22,10,10,23,19,0,0,0,517,4,119,129,2,99,0,2,2
Russell Gage,2021,ATL,WR,25,14,9,94,66,0,0,0,0,0,0,770,4,97,0,2,2
Elijah Moore,2021,NYJ,WR,21,11,6,77,43,0,0,0,54,1,5,538,5,95,0,0,0
Mike Davis,2021,ATL,RB,28,17,8,58,44,0,0,0,503,3,138,259,1,94,0,4,3
Alexander Mattison,2021,MIN,RB,23,16,4,39,32,0,0,0,491,3,134,228,1,94,0,1,1
Latavius Murray,2021,BAL,RB,31,14,6,13,10,0,0,0,501,6,119,75,0,94,0,0,0
Jamaal Williams,2021,DET,RB,26,13,11,28,26,0,0,0,601,3,153,157,0,94,0,1,0
Pat Freiermuth,2021,PIT,TE,23,16,9,79,60,0,0,0,0,0,0,497,7,92,0,1,1
Courtland Sutton,2021,DEN,WR,26,17,16,98,58,16,0,1,0,0,0,776,2,92,0,0,0
Robert Woods,2021,LAR,WR,29,9,9,69,45,0,0,0,46,1,8,556,4,92,0,0,0
Gabriel Davis,2021,BUF,WR,22,16,4,63,35,0,0,0,0,0,0,549,6,91,0,0,0
Noah Fant,2021,DEN,TE,24,16,16,90,68,0,0,0,0,0,0,670,4,91,0,0,0
Christian McCaffrey,2021,CAR,RB,25,7,7,41,37,0,0,0,442,1,99,343,1,91,0,1,0
Miles Sanders,2021,PHI,RB,24,12,12,34,26,0,0,0,754,0,137,158,0,91,0,1,1
Kenneth Gainwell,2021,PHI,RB,22,16,1,50,33,0,0,0,291,5,68,253,1,90,0,2,1
Emmanuel Sanders,2021,BUF,WR,34,14,13,72,42,0,0,0,31,0,2,626,4,90,0,0,0
Trevor Siemian,2021,NOR,QB,30,6,4,0,0,1154,11,188,20,1,9,0,0,90,3,3,1
Kareem Hunt,2021,CLE,RB,26,8,1,27,22,0,0,0,386,5,78,174,0,88,0,0,0
Robbie Chosen,2021,CAR,WR,28,17,16,110,53,0,0,0,36,0,3,519,5,86,0,0,0
Tyler Higbee,2021,LAR,TE,28,15,15,85,61,0,0,0,0,0,0,560,5,86,0,1,0
Cam Newton,2021,CAR,QB,32,8,5,0,0,684,4,126,230,5,47,0,0,86,5,4,1
Boston Scott,2021,PHI,RB,26,16,4,16,13,0,0,0,373,7,87,83,0,86,0,1,1
Odell Beckham Jr.,2021,2TM,WR,29,14,13,82,44,0,0,0,14,0,2,537,5,85,0,0,0
D'Onta Foreman,2021,TEN,RB,25,9,3,11,9,0,0,0,566,3,133,123,0,85,0,2,1
D'Ernest Johnson,2021,CLE,RB,25,17,2,25,19,0,0,0,534,3,100,137,0,85,0,1,0
J.D. McKissic,2021,WAS,RB,28,11,3,53,43,0,0,0,212,2,48,397,2,85,0,0,0
Byron Pringle,2021,KAN,WR,28,17,5,60,42,0,0,0,0,0,0,568,5,85,0,2,1
Jared Cook,2021,LAC,TE,34,16,10,83,48,0,0,0,0,0,0,564,4,84,0,0,0
Andy Dalton,2021,CHI,QB,34,8,6,0,0,1515,8,236,76,0,16,0,0,84,9,1,1
T.J. Hockenson,2021,DET,TE,24,12,12,84,61,0,0,0,0,0,0,583,4,84,0,0,0
Kalif Raymond,2021,DET,WR,27,16,14,71,48,0,0,0,28,0,4,576,4,84,0,0,0
Brandon Bolden,2021,NWE,RB,31,17,1,49,41,0,0,0,226,1,44,405,2,83,0,1,0
Tyler Huntley,2021,BAL,QB,23,7,4,0,0,1081,3,188,294,2,47,0,0,83,4,4,3
Ty Johnson,2021,NYJ,RB,24,16,3,55,34,0,0,0,238,2,61,372,2,83,0,2,1
Mecole Hardman,2021,KAN,WR,23,17,8,83,59,0,0,0,46,0,8,693,2,82,0,3,2
Mark Ingram,2021,2TM,RB,32,14,10,35,27,0,0,0,554,2,160,162,0,82,0,1,1
Zack Moss,2021,BUF,RB,24,13,0,32,23,0,0,0,345,4,96,197,1,82,0,2,1
Tyrod Taylor,2021,HOU,QB,32,6,6,0,0,966,5,150,151,3,19,0,0,82,5,3,0
Jarvis Landry,2021,CLE,WR,29,12,12,87,52,0,0,0,40,2,6,570,2,81,0,3,2
Antonio Brown,2021,TAM,WR,33,7,3,62,42,0,0,0,6,0,1,545,4,79,0,0,0
Rex Burkhead,2021,HOU,RB,31,16,5,32,25,0,0,1,427,3,122,186,0,79,0,1,0
C.J. Uzomah,2021,CIN,TE,28,16,16,63,49,0,0,0,0,0,0,493,5,79,0,0,0
Darren Waller,2021,LVR,TE,29,11,11,93,55,0,0,0,0,0,0,665,2,79,0,0,0
Cole Beasley,2021,BUF,WR,32,16,8,112,82,0,0,1,0,0,0,693,1,77,0,1,0
Tyler Conklin,2021,MIN,TE,26,17,15,87,61,0,0,0,0,0,0,593,3,77,0,1,0
Deonte Harty,2021,NOR,WR,24,13,1,59,36,0,0,0,41,0,5,570,3,77,0,2,1
Donovan Peoples-Jones,2021,CLE,WR,22,14,9,58,34,0,0,0,0,0,0,597,3,76,0,2,1
Braxton Berrios+,2021,NYJ,WR,26,16,1,65,46,0,0,0,40,2,7,431,2,75,0,1,1
Bryan Edwards,2021,LVR,WR,23,16,12,59,34,0,0,0,0,0,1,571,3,75,0,1,0
Kenyan Drake,2021,LVR,RB,27,12,2,40,30,0,0,0,254,2,63,291,1,73,0,1,0
Nyheim Hines,2021,IND,RB,25,17,4,57,40,0,0,0,276,2,56,310,1,73,0,3,2
Quez Watkins,2021,PHI,WR,23,17,12,62,43,0,0,0,3,0,1,647,1,73,0,0,0
Jacoby Brissett,2021,MIA,QB,29,11,5,0,0,1283,5,225,70,1,19,0,0,72,4,6,3
David Njoku,2021,CLE,TE,25,16,11,53,36,0,0,0,1,0,1,475,4,72,0,0,0
Corey Davis,2021,NYJ,WR,26,9,9,59,34,0,0,0,0,0,0,492,4,71,0,2,1
Gerald Everett,2021,SEA,TE,27,15,12,63,48,0,0,0,20,0,3,478,4,70,0,2,2
Nick Westbrook-Ikhine,2021,TEN,WR,24,16,7,57,38,0,0,0,0,0,0,476,4,70,0,1,1
Ronald Jones II,2021,TAM,RB,24,16,3,13,10,0,0,0,428,4,101,64,0,69,0,2,2
Nelson Agholor,2021,NWE,WR,28,15,13,64,37,0,0,0,11,0,3,473,3,66,0,0,0
Randall Cobb,2021,GNB,WR,31,12,3,39,28,0,0,0,1,0,1,375,5,66,0,1,1
Jalen Guyton,2021,LAC,WR,24,16,2,48,31,0,0,0,34,0,7,448,3,66,0,1,0
Khalil Herbert,2021,CHI,RB,23,17,2,16,14,0,0,0,433,2,103,96,0,65,0,1,0
Trey Lance,2021,SFO,QB,21,6,2,0,0,603,5,71,168,1,38,0,0,65,2,0,0
Justin Jackson,2021,LAC,RB,25,14,2,25,22,0,0,0,364,2,68,178,0,64,0,1,1
DeVante Parker,2021,MIA,WR,28,10,8,73,40,0,0,0,0,0,0,515,2,64,0,0,0
Laviska Shenault Jr.,2021,JAX,WR,23,16,10,100,63,0,0,0,41,0,11,619,0,64,0,1,1
DeAndre Carter,2021,WAS,WR,28,17,6,44,24,0,0,0,89,0,10,296,3,63,0,3,0
Freddie Swain,2021,SEA,WR,23,17,8,40,25,0,0,0,32,0,5,343,4,62,0,1,0
Jordan Howard,2021,PHI,RB,27,7,0,5,2,0,0,0,406,3,86,19,0,61,0,0,0
Cole Kmet,2021,CHI,TE,22,17,17,93,60,0,0,0,0,0,1,612,0,61,0,0,0
Henry Ruggs III,2021,LVR,WR,22,7,7,36,24,0,0,0,16,0,3,469,2,61,0,0,0
Marquez Valdes-Scantling,2021,GNB,WR,27,11,7,55,26,0,0,0,0,0,0,430,3,61,0,0,0
Alex Collins,2021,SEA,RB,27,11,6,10,9,0,0,0,411,2,108,87,0,60,0,1,1
Josh Palmer,2021,LAC,WR,22,17,5,49,33,0,0,0,6,0,1,353,4,60,0,0,0
Jamison Crowder,2021,NYJ,WR,28,12,4,71,51,0,0,0,0,0,0,447,2,59,0,1,1
Zay Jones,2021,LVR,WR,26,17,9,70,47,0,0,0,3,0,2,546,1,59,0,1,1
Olamide Zaccheaus,2021,ATL,WR,24,17,8,53,31,0,0,0,2,0,1,406,3,59,0,0,0
Rashod Bateman,2021,BAL,WR,22,12,4,68,46,0,0,0,0,0,0,515,1,58,0,0,0
Jauan Jennings,2021,SFO,WR,24,16,1,38,24,0,0,0,0,0,0,282,5,58,0,1,0
Evan Engram,2021,NYG,TE,27,15,12,73,46,0,0,0,-3,0,1,408,3,57,0,1,1
Michael Gallup,2021,DAL,WR,25,9,8,62,35,0,0,0,0,0,0,445,2,57,0,0,0
Zach Pascal,2021,IND,WR,27,16,13,69,38,0,0,0,21,0,2,384,3,57,0,1,1
Mo Alie-Cox,2021,IND,TE,28,17,7,45,24,0,0,0,0,0,0,316,4,56,0,1,0
DeSean Jackson,2021,2TM,WR,35,16,4,34,20,0,0,0,4,0,1,454,2,56,0,1,1
Samaje Perine,2021,CIN,RB,26,16,0,31,27,0,0,0,246,1,55,196,1,56,0,0,0
Tre'Quan Smith,2021,NOR,WR,25,11,6,50,32,0,0,0,0,0,0,377,3,56,0,1,0
Austin Hooper,2021,CLE,TE,27,16,16,61,38,0,0,0,0,0,0,345,3,55,0,0,0
Duke Johnson,2021,MIA,RB,28,5,4,5,4,0,0,0,330,3,71,41,0,55,0,0,0
Rondale Moore,2021,ARI,WR,21,14,7,64,54,0,0,0,76,0,18,435,1,55,0,3,1
Foster Moreau,2021,LVR,TE,24,17,11,44,30,0,0,0,0,0,0,373,3,55,0,1,0
Dontrell Hilliard,2021,TEN,RB,26,8,5,26,19,0,0,0,350,2,56,87,0,54,0,2,1
Geno Smith,2021,SEA,QB,31,4,3,0,0,702,5,95,42,1,9,0,0,54,1,1,1
Ameer Abdullah,2021,2TM,RB,28,17,1,53,38,0,0,0,166,0,51,289,1,52,0,0,0
Jamal Agnew,2021,JAX,WR,26,10,2,39,24,0,0,0,111,1,7,229,1,52,0,1,0
Kenny Golladay,2021,NYG,WR,28,14,14,76,37,0,0,0,0,0,0,521,0,52,0,0,0
Josh Reynolds,2021,2TM,WR,26,12,5,49,29,0,0,0,0,0,0,396,2,52,0,0,0
Keelan Cole,2021,NYJ,WR,28,15,11,51,28,0,0,1,0,0,0,449,1,51,0,0,0
Nico Collins,2021,HOU,WR,22,14,8,60,33,0,0,0,0,0,0,446,1,51,0,0,0
T.Y. Hilton,2021,IND,WR,32,10,9,37,23,0,0,0,0,0,0,331,3,51,0,0,0
Drew Lock,2021,DEN,QB,25,6,3,1,1,787,2,111,53,2,10,1,0,51,2,2,1
Jack Doyle,2021,IND,TE,31,17,14,43,29,0,0,0,0,0,0,302,3,50,0,0,0
Devin Duvernay,2021,BAL,WR,24,16,7,47,33,0,0,0,50,0,7,272,2,50,0,1,0
Cameron Brate,2021,TAM,TE,30,17,3,57,30,0,0,0,0,0,0,245,4,49,0,0,0
David Johnson,2021,HOU,RB,30,13,4,42,32,0,0,0,228,0,67,225,1,49,0,1,1
Julio Jones,2021,TEN,WR,32,10,10,48,31,0,0,0,0,0,0,434,1,49,0,0,0
Allen Robinson,2021,CHI,WR,28,12,11,66,38,0,0,0,0,0,0,410,1,49,0,0,0
Laquon Treadwell,2021,JAX,WR,26,12,7,51,33,0,0,0,0,0,0,434,1,49,0,0,0
Derrick Gore,2021,KAN,RB,27,11,0,9,8,0,0,0,256,2,51,105,0,48,0,0,0
Jerry Jeudy,2021,DEN,WR,22,10,5,56,38,0,0,0,3,0,2,467,0,47,0,1,0
Mack Hollins,2021,MIA,WR,28,17,3,28,14,0,0,0,0,0,0,223,4,46,0,0,0
Travis Homer,2021,SEA,RB,23,14,0,20,16,0,0,0,177,1,21,161,0,46,0,0,0
Josh Johnson,2021,2TM,QB,35,4,1,0,0,638,5,85,28,0,9,0,0,46,2,2,0
Jeremy McNichols,2021,TEN,RB,26,14,0,38,28,0,0,0,156,0,41,240,1,46,0,0,0
Jaret Patterson,2021,WAS,RB,22,17,1,11,10,0,0,0,266,2,68,73,0,46,0,1,0
Danny Amendola,2021,HOU,WR,36,8,0,38,24,0,0,1,0,0,0,248,3,45,0,1,0
Anthony Firkser,2021,TEN,TE,26,15,1,43,34,0,0,0,0,0,0,291,2,45,0,2,1
Jalen Reagor,2021,PHI,WR,22,17,13,57,33,0,0,0,32,0,10,299,2,45,0,2,0
Damien Williams,2021,CHI,RB,29,12,2,23,16,0,0,0,164,2,40,103,1,45,0,0,0
Jeff Wilson,2021,SFO,RB,26,9,4,8,7,0,0,0,294,2,79,31,0,45,0,1,0
Kyle Juszczyk,2021,SFO,RB,30,17,16,38,30,0,0,0,22,1,8,296,1,44,0,0,0
Demarcus Robinson,2021,KAN,WR,27,17,10,41,25,0,0,0,0,0,0,264,3,44,0,0,0
Mike White,2021,NYJ,QB,26,4,3,0,0,953,5,132,-1,0,5,0,0,44,8,0,0
Chris Conley,2021,HOU,WR,29,16,10,37,22,0,0,0,3,0,1,323,2,43,0,1,1
Albert Okwuegbunam,2021,DEN,TE,23,14,6,40,33,0,0,0,0,0,0,330,2,43,0,1,1
Darius Slayton,2021,NYG,WR,24,13,5,58,26,0,0,0,-13,0,1,339,2,43,0,1,1
Kadarius Toney,2021,NYG,WR,22,10,4,57,39,19,0,3,6,0,3,420,0,43,0,0,0
Sammy Watkins,2021,BAL,WR,28,13,9,49,27,0,0,0,0,0,0,394,1,43,0,1,1
Chris Carson,2021,SEA,RB,27,4,4,6,6,0,0,0,232,3,54,29,0,42,0,1,1
Sterling Shepard,2021,NYG,WR,28,7,6,53,36,0,0,0,-9,0,1,366,1,42,0,0,0
James Washington,2021,PIT,WR,25,15,2,44,24,0,0,0,13,0,2,285,2,42,0,0,0
Dan Arnold,2021,2TM,TE,26,11,4,52,35,0,0,0,0,0,0,408,0,41,0,1,1
Harrison Bryant,2021,CLE,TE,23,16,3,28,21,0,0,0,0,0,0,233,3,41,0,0,0
Tevin Coleman,2021,NYJ,RB,28,11,5,16,11,0,0,0,356,0,84,49,0,41,0,0,0
