Player,Season,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
Jonathan Taylor,2021,IND,RB,22,17,17,51,40,0,0,0,1811,18,332,360,2,333,0,4,2
Cooper Kupp,2021,LAR,WR,28,17,17,191,145,0,0,1,18,0,4,1947,16,295,0,0,0
Deebo Samuel,2021,SFO,WR,25,16,15,121,77,24,1,2,365,8,59,1405,6,262,0,4,2
Josh Allen,2021,BUF,QB,25,17,17,0,0,4407,36,646,763,6,122,0,0,403,15,8,3
Austin Ekeler,2021,LAC,RB,26,16,16,94,70,0,0,0,911,12,206,647,8,274,0,4,3
Justin Herbert,2021,LAC,QB,23,17,17,0,0,5014,38,672,302,3,63,0,0,381,15,1,1
Tom Brady,2021,TAM,QB,44,17,17,0,0,5316,43,719,81,2,28,0,0,375,12,4,3
Mark Andrews,2021,BAL,TE,26,17,9,153,107,0,0,0,0,0,1,1361,9,194,0,1,0
Ja'Marr Chase,2021,CIN,WR,21,17,17,128,81,0,0,0,21,0,7,1455,13,224,0,2,1
Justin Jefferson,2021,MIN,WR,22,17,17,167,108,35,0,4,14,0,6,1616,10,222,0,1,1
Joe Mixon,2021,CIN,RB,25,16,16,48,42,0,0,0,1205,13,292,314,3,246,0,2,1
Davante Adams,2021,GNB,WR,29,16,16,169,123,0,0,0,0,0,0,1553,11,221,0,0,0
Patrick Mahomes,2021,KAN,QB,26,17,17,0,0,4839,37,658,381,2,66,0,0,362,13,9,4
Najee Harris,2021,PIT,RB,23,17,17,94,74,0,0,0,1200,7,307,467,3,227,0,0,0
Travis Kelce,2021,KAN,TE,32,16,16,134,92,0,0,0,3,1,2,1125,9,171,0,1,1
James Conner,2021,ARI,RB,26,15,6,39,37,0,0,0,752,15,202,375,3,221,0,2,0
Mike Evans,2021,TAM,WR,28,16,16,114,74,0,0,0,10,0,1,1035,14,189,0,0,0
Aaron Rodgers,2021,GNB,QB,38,16,16,1,1,4115,37,531,101,3,33,-4,0,332,4,3,0
Tyreek Hill,2021,KAN,WR,27,17,16,159,111,0,0,0,96,0,9,1239,9,186,0,2,1
Matthew Stafford,2021,LAR,QB,33,17,17,0,0,4886,41,601,43,0,32,0,0,330,17,5,2
Stefon Diggs,2021,BUF,WR,28,17,17,164,103,0,0,0,0,0,0,1225,10,183,0,1,0
Ezekiel Elliott,2021,DAL,RB,26,17,17,65,47,4,0,1,1002,10,237,287,2,205,0,1,1
Dak Prescott,2021,DAL,QB,28,16,16,0,0,4449,37,596,146,1,48,0,0,321,10,14,6
Nick Chubb,2021,CLE,RB,26,14,14,25,20,0,0,0,1259,8,228,174,1,195,0,2,1
Mike Williams,2021,LAC,WR,27,16,14,129,76,0,0,0,0,0,0,1146,9,171,0,0,0
D.K. Metcalf,2021,SEA,WR,24,17,17,129,75,0,0,0,6,0,1,967,12,169,0,1,0
Tyler Lockett,2021,SEA,WR,29,16,16,107,73,0,0,0,9,0,2,1175,8,168,0,0,0
Damien Harris,2021,NWE,RB,24,15,15,21,18,0,0,0,929,15,202,132,0,192,0,2,2
Joe Burrow,2021,CIN,QB,25,16,16,0,0,4611,34,520,118,2,40,0,0,314,14,5,2
Diontae Johnson,2021,PIT,WR,25,16,14,169,107,0,0,0,53,0,5,1161,8,167,0,2,2
Jalen Hurts,2021,PHI,QB,23,15,15,1,0,3144,16,432,784,10,139,0,0,312,9,9,2
Alvin Kamara,2021,NOR,RB,26,13,10,67,47,0,0,0,898,4,240,439,5,188,0,0,0
Antonio Gibson,2021,WAS,RB,23,16,14,52,42,0,0,0,1037,7,258,294,3,187,0,6,4
Leonard Fournette,2021,TAM,RB,26,14,13,84,69,0,0,1,812,8,180,454,2,187,0,1,0
Dalton Schultz,2021,DAL,TE,25,17,15,104,78,0,0,0,0,0,0,808,8,131,0,0,0
Cordarrelle Patterson,2021,ATL,RB,30,16,13,69,52,0,0,1,618,6,153,548,5,183,0,2,0
George Kittle,2021,SFO,TE,28,14,14,94,71,0,0,0,20,0,3,910,6,127,0,2,1
Hunter Renfrow,2021,LVR,WR,26,17,9,128,103,0,0,0,3,0,3,1038,9,156,0,5,1
CeeDee Lamb,2021,DAL,WR,22,16,13,120,79,0,0,0,76,0,9,1102,6,154,0,0,0
Kyler Murray,2021,ARI,QB,24,14,14,0,0,3787,24,481,423,5,88,7,0,300,10,13,0
Kirk Cousins,2021,MIN,QB,33,16,16,0,0,4221,33,561,115,1,29,0,0,300,7,12,2
Aaron Jones,2021,GNB,RB,27,15,15,65,52,0,0,0,799,4,171,391,6,177,0,2,1
Keenan Allen,2021,LAC,WR,29,16,16,157,106,0,0,1,0,0,0,1138,6,152,0,1,0
Derrick Henry,2021,TEN,RB,27,8,8,20,18,5,1,1,937,10,219,154,0,175,0,1,0
Michael Pittman Jr.,2021,IND,WR,24,17,17,129,88,0,0,0,44,0,5,1082,6,151,0,1,0
Dalvin Cook,2021,MIN,RB,26,13,13,49,34,0,0,0,1159,6,249,224,0,172,0,3,2
Josh Jacobs,2021,LVR,RB,23,15,14,64,54,0,0,0,872,9,217,348,0,172,0,2,2
Rob Gronkowski,2021,TAM,TE,32,12,12,89,55,0,0,0,0,0,0,802,6,116,0,0,0
Tee Higgins,2021,CIN,WR,22,14,14,110,74,0,0,0,0,0,0,1091,6,145,0,1,1
Dawson Knox,2021,BUF,TE,25,15,14,71,49,0,0,0,4,0,0,587,9,115,0,0,0
D.J. Moore,2021,CAR,WR,24,17,17,163,93,0,0,0,48,0,8,1157,4,145,0,1,1
Chris Godwin,2021,TAM,WR,25,14,14,127,98,0,0,0,21,1,4,1103,5,144,0,2,2
Hunter Henry,2021,NWE,TE,27,17,10,75,50,0,0,0,0,0,0,603,9,114,0,0,0
Melvin Gordon,2021,DEN,RB,28,16,16,38,28,0,0,0,918,8,203,213,2,167,0,3,3
Jaylen Waddle,2021,MIA,WR,23,16,16,140,104,0,0,0,3,1,2,1015,6,142,0,2,1
Brandin Cooks,2021,HOU,WR,28,16,16,134,90,0,0,0,21,0,2,1037,6,142,0,0,0
Dallas Goedert,2021,PHI,TE,26,15,14,76,56,0,0,0,0,0,0,830,4,109,0,1,0
Darnell Mooney,2021,CHI,WR,24,17,14,140,81,0,0,0,32,1,6,1055,4,139,0,0,0
Kyle Pitts,2021,ATL,TE,21,17,15,110,68,0,0,0,0,0,0,1026,1,109,0,0,0
Javonte Williams,2021,DEN,RB,21,17,1,53,43,0,0,0,903,4,203,316,3,162,0,2,1
Amon-Ra St. Brown,2021,DET,WR,22,17,9,119,90,0,0,0,61,1,7,912,5,137,0,0,0
Zach Ertz,2021,2TM,TE,31,17,14,112,74,0,0,0,4,0,1,763,5,107,0,0,0
Terry McLaurin,2021,WAS,WR,26,17,17,130,77,0,0,0,12,0,1,1053,5,137,0,0,0
Marquise Brown,2021,BAL,WR,24,16,16,146,91,0,0,0,5,0,1,1008,6,135,0,3,1
Amari Cooper,2021,DAL,WR,27,15,14,104,68,0,0,0,0,0,0,865,8,135,0,1,0
Devin Singletary,2021,BUF,RB,24,17,16,50,40,0,0,0,870,7,188,228,1,158,0,5,0
Adam Thielen,2021,MIN,WR,31,13,13,95,67,0,0,0,2,0,1,726,10,133,0,1,0
Christian Kirk,2021,ARI,WR,25,17,11,103,77,33,0,1,11,0,1,982,5,131,0,0,0
David Montgomery,2021,CHI,RB,24,13,13,51,42,0,0,1,849,7,225,301,0,153,1,1,1
AJ Dillon,2021,GNB,RB,23,17,2,37,34,0,0,0,803,5,187,313,2,152,0,2,1
Kendrick Bourne,2021,NWE,WR,26,17,5,70,55,25,1,1,125,0,12,800,5,126,0,1,1
Darrel Williams,2021,KAN,RB,26,17,7,57,47,0,0,0,558,6,144,452,2,149,0,0,0
D'Andre Swift,2021,DET,RB,22,13,4,78,62,0,0,1,617,5,151,452,2,147,0,2,1
Mike Gesicki,2021,MIA,TE,26,17,9,112,73,0,0,1,0,0,0,780,2,92,0,0,0
Nick Ralston,2021,DAL,,25,4,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Elijah Mitchell,2021,SFO,RB,23,11,10,20,19,0,0,0,963,5,207,137,1,146,0,0,0
