Player,Season,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
David Johnson,2016,ARI,RB,25,16,16,120,80,0,0,0,1239,16,293,879,4,328,0,5,3
Ezekiel Elliott,2016,DAL,RB,21,15,15,39,32,0,0,0,1631,15,322,363,1,293,0,5,1
Aaron Rodgers,2016,GNB,QB,33,16,16,0,0,4428,40,610,369,4,67,0,0,380,7,8,4
LeSean McCoy,2016,BUF,RB,28,15,15,57,50,0,0,0,1267,13,234,356,1,248,0,3,0
Le'Veon Bell,2016,PIT,RB,24,12,12,94,75,0,0,1,1268,7,261,616,2,242,0,4,1
DeMarco Murray,2016,TEN,RB,28,16,16,67,53,10,1,2,1287,9,293,377,3,241,0,3,1
Devonta Freeman,2016,ATL,RB,24,16,16,65,54,0,0,0,1079,11,227,462,2,230,0,1,1
LeGarrette Blount,2016,NWE,RB,30,16,8,8,7,0,0,0,1161,18,299,38,0,226,0,2,1
Matt Ryan,2016,ATL,QB,31,16,16,0,0,4944,38,534,117,0,35,0,0,347,7,4,2
Mike Evans,2016,TAM,WR,23,16,16,173,96,0,0,0,0,0,0,1321,12,208,0,0,0
Jordy Nelson,2016,GNB,WR,31,16,16,152,97,0,0,0,0,0,0,1257,14,208,0,1,1
Antonio Brown,2016,PIT,WR,28,15,15,154,106,0,0,0,9,0,3,1284,12,201,0,0,0
Melvin Gordon,2016,SDG,RB,23,13,11,57,41,0,0,0,997,10,254,419,2,210,0,2,2
Drew Brees,2016,NOR,QB,37,16,16,0,0,5208,37,673,20,2,23,0,0,332,15,5,4
Odell Beckham Jr.,2016,NYG,WR,24,16,16,169,101,0,0,0,9,0,1,1367,10,196,0,3,1
Jordan Howard,2016,CHI,RB,22,15,13,50,29,0,0,0,1313,6,252,298,1,201,0,2,1
Mark Ingram,2016,NOR,RB,27,16,14,58,46,0,0,0,1043,6,205,319,4,196,0,2,2
T.Y. Hilton,2016,IND,WR,27,16,16,155,91,0,0,0,0,0,0,1448,6,183,0,0,0
