Player,Season,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
Christian McCaffrey,2019,CAR,RB,23,16,16,142,116,0,0,2,1387,15,287,1005,4,355,0,1,0
Lamar Jackson,2019,BAL,QB,22,15,15,0,0,3127,36,401,1206,7,176,0,0,416,6,9,2
Derrick Henry,2019,TEN,RB,25,15,15,24,18,0,0,0,1540,16,303,206,2,277,0,5,3
Aaron Jones,2019,GNB,RB,25,16,16,68,49,0,0,0,1084,16,236,474,3,266,0,3,2
Ezekiel Elliott,2019,DAL,RB,24,16,16,71,54,0,0,0,1357,12,301,420,2,258,0,3,2
Dalvin Cook,2019,MIN,RB,24,14,14,63,53,0,0,0,1135,13,250,519,0,239,0,4,2
Michael Thomas,2019,NOR,WR,26,16,15,185,149,0,0,0,-9,0,1,1725,9,226,0,1,0
Travis Kelce,2019,KAN,TE,30,16,16,136,97,0,0,0,4,1,1,1229,5,157,0,1,1
Nick Chubb,2019,CLE,RB,24,16,16,49,36,0,0,0,1494,8,298,278,0,219,0,3,3
Austin Ekeler,2019,LAC,RB,24,16,8,108,92,0,0,0,557,3,132,993,8,217,0,3,2
Mark Ingram,2019,BAL,RB,30,15,15,29,26,0,0,0,1018,10,202,247,5,217,0,2,2
Dak Prescott,2019,DAL,QB,26,16,16,0,0,4902,30,596,277,3,52,0,0,338,11,6,2
Mark Andrews,2019,BAL,TE,24,15,4,98,64,0,0,0,0,0,0,852,10,143,0,2,1
Russell Wilson,2019,SEA,QB,31,16,16,0,0,4110,31,516,342,3,75,0,0,329,5,8,2
Chris Godwin,2019,TAM,WR,23,14,14,121,86,0,0,0,8,0,1,1333,9,190,0,0,0
George Kittle,2019,SFO,TE,26,14,14,107,85,0,0,0,22,0,5,1053,5,138,0,1,0
Deshaun Watson,2019,HOU,QB,24,15,15,1,1,3852,26,495,413,7,82,6,1,320,12,10,3
Chris Carson,2019,SEA,RB,25,15,15,47,37,0,0,0,1230,7,278,266,2,196,0,7,4
Darren Waller,2019,OAK,TE,27,16,16,117,90,0,0,0,5,0,2,1145,3,131,0,1,1
Kenny Golladay,2019,DET,WR,26,16,16,116,65,0,0,0,0,0,0,1190,11,183,0,1,1
Saquon Barkley,2019,NYG,RB,22,13,13,73,52,0,0,0,1003,6,217,438,2,192,0,1,0
Zach Ertz,2019,PHI,TE,29,15,15,135,88,0,0,0,0,0,0,916,6,128,0,1,1
Joe Mixon,2019,CIN,RB,23,16,15,45,35,0,0,0,1137,5,278,287,3,190,0,0,0
Todd Gurley,2019,LAR,RB,25,15,15,49,31,0,0,0,857,12,223,207,2,188,0,3,2
Jared Cook,2019,NOR,TE,32,14,7,65,43,0,0,0,0,0,0,705,9,125,0,0,0
Cooper Kupp,2019,LAR,WR,26,16,14,134,94,0,0,1,4,0,2,1161,10,177,0,3,0
Julio Jones,2019,ATL,WR,30,15,15,157,99,0,0,0,-3,0,2,1394,6,175,0,1,0
DeVante Parker,2019,MIA,WR,26,16,14,128,72,0,0,0,0,0,0,1202,9,174,0,0,0
Leonard Fournette,2019,JAX,RB,24,15,15,100,76,0,0,0,1152,3,265,522,0,183,0,1,1
Jameis Winston,2019,TAM,QB,25,16,16,0,0,5109,33,626,250,1,59,0,0,305,30,12,5
Austin Hooper,2019,ATL,TE,25,13,10,97,75,0,0,0,0,0,0,787,6,117,0,0,0
Amari Cooper,2019,DAL,WR,25,16,16,119,79,0,0,0,6,0,1,1189,8,168,0,0,0
Mike Evans,2019,TAM,WR,26,13,13,118,67,0,0,0,0,0,0,1157,8,166,0,0,0
A.J. Brown,2019,TEN,WR,22,16,11,84,52,0,0,0,60,1,3,1051,8,165,0,1,0
DeAndre Hopkins,2019,HOU,WR,27,15,15,150,104,6,1,2,18,0,2,1165,7,165,1,0,0
Josh Jacobs,2019,OAK,RB,21,13,13,27,20,0,0,0,1150,7,242,166,0,172,0,1,1
Keenan Allen,2019,LAC,WR,27,16,16,149,104,0,0,0,16,0,3,1199,6,158,0,0,0
Miles Sanders,2019,PHI,RB,22,16,11,63,50,0,0,0,818,3,179,509,3,169,0,2,1
Allen Robinson,2019,CHI,WR,26,16,15,154,98,0,0,0,2,0,1,1147,7,157,0,0,0
Julian Edelman,2019,NWE,WR,33,16,13,153,100,47,1,2,27,0,8,1117,6,156,0,3,1
Alvin Kamara,2019,NOR,RB,24,14,9,97,81,13,0,1,797,5,171,533,1,168,0,4,1
Marlon Mack,2019,IND,RB,23,14,12,17,14,0,0,0,1091,8,247,82,0,167,0,0,0
Jarvis Landry,2019,CLE,WR,27,16,16,138,83,0,0,0,10,0,1,1174,6,154,0,0,0
