Player,Season,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
Josh Allen,2019,BUF,QB,23,16,16,0,0,3089,20,461,510,9,109,0,0,289,9,14,4
Tyler Lockett,2019,SEA,WR,27,16,16,110,82,0,0,0,-5,0,4,1057,8,153,0,1,0
DJ Chark,2019,JAX,WR,23,15,14,118,73,0,0,0,20,0,2,1008,8,153,0,0,0
Kenyan Drake,2019,2TM,RB,25,14,10,68,50,0,0,0,817,8,170,345,0,164,0,2,1
Patrick Mahomes,2019,KAN,QB,24,14,14,0,0,4031,26,484,218,2,43,0,0,287,5,3,2
Phillip Lindsay,2019,DEN,RB,25,16,16,48,35,0,0,0,1011,7,224,196,0,163,0,0,0
Kyler Murray,2019,ARI,QB,22,16,16,0,0,3722,20,542,544,4,93,0,0,285,12,5,2
Courtland Sutton,2019,DEN,WR,24,16,14,124,72,38,0,1,17,0,3,1112,6,150,0,2,0
Stefon Diggs,2019,MIN,WR,26,15,15,94,63,0,0,1,61,0,5,1130,6,149,0,4,3
John Brown,2019,BUF,WR,29,15,15,115,72,28,1,1,7,0,2,1060,6,148,0,0,0
Hunter Henry,2019,LAC,TE,25,12,12,76,55,0,0,0,0,0,0,652,5,95,0,1,1
Michael Gallup,2019,DAL,WR,23,14,12,113,66,0,0,0,0,0,0,1107,6,147,0,0,0
Aaron Rodgers,2019,GNB,QB,36,16,16,0,0,4002,26,569,183,1,46,0,0,278,4,4,4
Tyler Higbee,2019,LAR,TE,26,15,15,89,69,0,0,0,0,0,0,734,3,91,0,0,0
D.J. Moore,2019,CAR,WR,22,15,15,135,87,0,0,0,40,0,6,1175,4,144,0,2,1
Robert Woods,2019,LAR,WR,27,15,15,139,90,0,0,0,115,1,17,1134,2,143,0,0,0
Carson Wentz,2019,PHI,QB,27,16,16,0,0,4039,27,607,243,1,62,0,0,276,7,16,7
Raheem Mostert,2019,SFO,RB,27,16,0,22,14,0,0,0,772,8,137,180,2,151,0,2,2
Dallas Goedert,2019,PHI,TE,24,15,9,87,58,0,0,0,0,0,0,607,5,87,0,2,2
Le'Veon Bell,2019,NYJ,RB,27,15,15,78,66,0,0,0,789,3,245,461,1,149,0,1,1
Mike Gesicki,2019,MIA,TE,24,16,5,89,51,0,0,0,0,0,0,570,5,85,0,1,1
Calvin Ridley,2019,ATL,WR,25,13,10,93,63,0,0,0,34,0,2,866,7,134,0,0,0
Terry McLaurin,2019,WAS,WR,24,14,14,93,58,0,0,0,0,0,0,919,7,134,0,0,0
David Montgomery,2019,CHI,RB,22,16,8,35,25,0,0,0,889,6,242,185,1,145,0,2,2
Tyler Boyd,2019,CIN,WR,25,16,15,148,90,0,0,0,23,0,4,1046,5,133,0,2,2
Matt Ryan,2019,ATL,QB,34,15,15,0,0,4466,26,616,147,1,34,0,0,267,14,9,5
Deebo Samuel,2019,SFO,WR,23,15,11,81,57,0,0,0,159,3,14,802,3,132,0,2,1
Marvin Jones,2019,DET,WR,29,13,11,91,62,0,0,0,0,0,2,779,9,132,0,0,0
Carlos Hyde,2019,HOU,RB,29,16,14,16,10,0,0,0,1070,6,245,42,0,143,0,4,2
Tyreek Hill,2019,KAN,WR,25,12,12,89,58,0,0,0,23,0,8,860,7,130,0,0,0
Davante Adams,2019,GNB,WR,27,12,12,127,83,0,0,0,0,0,0,997,5,130,0,2,1
Michael Burton,2019,WAS,,27,10,2,1,0,0,0,0,0,0,0,0,0,,0,,0
Jamize Olawale,2019,DAL,,30,16,5,2,0,0,0,0,0,0,0,0,0,,0,,0
D.K. Metcalf,2019,SEA,WR,22,16,15,100,58,0,0,0,11,0,2,900,7,129,0,3,3
Sony Michel,2019,NWE,RB,24,16,14,20,12,0,0,0,912,7,247,94,0,141,0,2,1
Tom Brady,2019,NWE,QB,42,16,16,0,0,4057,24,613,34,3,26,0,0,264,8,4,1
Jared Goff,2019,LAR,QB,25,16,16,0,0,4638,22,626,40,2,33,0,0,248,16,10,5
Jimmy Garoppolo,2019,SFO,QB,28,16,16,0,0,3978,27,476,62,1,46,0,0,247,13,10,5
Derek Carr,2019,OAK,QB,28,16,16,0,0,4054,21,513,82,2,27,0,0,244,8,7,3
Kirk Cousins,2019,MIN,QB,31,15,15,1,0,3603,26,444,63,1,31,0,0,244,6,10,3
Ryan Fitzpatrick,2019,MIA,QB,37,15,13,0,0,3529,20,502,243,4,54,0,0,241,13,9,2
Philip Rivers,2019,LAC,QB,38,16,16,0,0,4615,23,591,29,0,12,0,0,236,20,8,3
Baker Mayfield,2019,CLE,QB,24,16,16,0,0,3827,22,534,141,3,28,0,0,229,21,6,2
Gardner Minshew II,2019,JAX,QB,23,14,12,0,0,3271,21,470,344,0,67,0,0,229,6,12,7
Drew Brees,2019,NOR,QB,40,11,11,0,0,2979,27,378,-4,1,9,0,0,225,4,0,0
Ryan Tannehill,2019,TEN,QB,31,12,10,0,0,2742,22,286,185,4,43,0,0,224,6,5,3
Jacoby Brissett,2019,IND,QB,27,15,15,1,1,2942,18,447,228,4,56,2,0,217,6,7,5
Daniel Jones,2019,NYG,QB,22,13,12,0,0,3027,24,459,279,2,45,0,0,215,12,19,11
Andy Dalton,2019,CIN,QB,32,13,13,1,1,3494,16,528,73,4,32,-4,0,203,14,8,4
Mitchell Trubisky,2019,CHI,QB,25,15,15,0,0,3138,17,516,193,2,48,0,0,203,10,5,2
Sam Darnold,2019,NYJ,QB,22,13,13,0,0,3024,19,441,62,2,33,0,0,189,13,11,3
Kyle Allen,2019,CAR,QB,23,13,12,0,0,3322,17,489,106,2,32,0,0,177,16,13,7
Matthew Stafford,2019,DET,QB,31,8,8,0,0,2499,19,291,66,0,20,0,0,167,5,5,3
Devonta Freeman,2019,ATL,RB,27,14,14,70,59,0,0,0,656,2,184,410,4,139,0,3,2
Melvin Gordon,2019,LAC,RB,26,12,11,55,42,0,0,0,612,8,162,296,1,139,0,4,3
Ronald Jones II,2019,TAM,RB,22,16,9,40,31,0,0,0,724,6,172,309,0,135,0,3,2
Adrian Peterson,2019,WAS,RB,34,15,15,23,17,0,0,0,898,5,211,142,0,130,0,3,2
James White,2019,NWE,RB,27,15,1,95,72,35,0,1,263,1,67,645,5,128,0,1,1
Odell Beckham Jr.,2019,CLE,WR,27,16,15,133,74,20,0,2,10,0,3,1035,4,127,0,1,1
Emmanuel Sanders,2019,2TM,WR,32,17,16,97,66,35,1,1,0,0,0,869,5,124,0,0,0
Latavius Murray,2019,NOR,RB,29,16,8,43,34,0,0,0,637,5,146,235,1,123,0,0,0
Darius Slayton,2019,NYG,WR,22,14,9,84,48,0,0,0,0,0,0,740,8,122,0,0,0
Jamison Crowder,2019,NYJ,WR,26,16,12,122,78,0,0,0,4,0,1,833,6,120,0,0,0
Devin Singletary,2019,BUF,RB,22,12,8,41,29,0,0,0,775,2,151,194,2,119,0,4,1
Cole Beasley,2019,BUF,WR,30,15,10,106,67,0,0,0,0,0,0,778,6,118,0,0,0
Curtis Samuel,2019,CAR,WR,23,16,15,105,54,0,0,0,130,1,19,627,6,118,0,0,0
Tevin Coleman,2019,SFO,RB,26,14,11,30,21,0,0,0,544,6,137,180,1,114,0,0,0
James Conner,2019,PIT,RB,24,10,10,38,34,0,0,0,464,4,116,251,3,112,0,1,1
Mike Williams,2019,LAC,WR,25,15,15,90,49,0,0,0,2,0,1,1001,2,112,0,0,0
Damien Williams,2019,KAN,RB,27,11,6,37,30,0,0,0,498,5,111,213,2,111,0,1,1
Robbie Chosen,2019,NYJ,WR,26,16,15,96,52,0,0,0,4,0,1,779,5,110,0,1,0
Chris Conley,2019,JAX,WR,27,16,14,90,47,0,0,0,0,0,0,775,5,110,0,0,0
Duke Johnson,2019,HOU,RB,26,16,2,62,44,0,0,0,410,2,83,410,3,110,0,1,1
Mason Rudolph,2019,PIT,QB,24,10,8,0,0,1765,13,283,42,0,21,0,0,109,9,4,0
Jamaal Williams,2019,GNB,RB,24,14,2,45,39,0,0,0,460,1,107,253,5,107,0,0,0
David Johnson,2019,ARI,RB,28,13,9,47,36,0,0,0,345,2,94,370,4,106,0,1,1
Diontae Johnson,2019,PIT,WR,23,16,12,92,59,0,0,0,41,0,4,680,5,104,0,5,2
Case Keenum,2019,WAS,QB,31,10,8,0,0,1707,11,247,12,1,9,0,0,103,5,6,3
Golden Tate,2019,NYG,WR,31,11,10,85,49,0,0,0,16,0,1,676,6,103,0,1,1
Larry Fitzgerald,2019,ARI,WR,36,16,16,109,75,0,0,0,0,0,0,804,4,102,0,1,1
Breshad Perriman,2019,TAM,WR,26,14,4,69,36,0,0,0,16,0,2,645,6,102,0,0,0
Peyton Barber,2019,TAM,RB,25,16,7,24,16,0,0,0,470,6,154,115,1,101,0,1,1
Jordan Howard,2019,PHI,RB,25,10,4,14,10,0,0,0,525,6,119,69,1,101,0,0,0
Tyrell Williams,2019,OAK,WR,27,14,12,64,42,0,0,0,0,0,0,651,6,101,0,0,0
Marquise Brown,2019,BAL,WR,22,14,11,71,46,0,0,0,0,0,0,584,7,100,0,0,0
Randall Cobb,2019,DAL,WR,29,15,6,83,55,0,0,1,11,0,3,828,3,100,0,2,1
Christian Kirk,2019,ARI,WR,23,13,13,108,68,0,0,0,93,0,10,709,3,100,0,0,0
Royce Freeman,2019,DEN,RB,23,16,0,50,43,0,0,0,496,3,132,256,1,99,0,0,0
Mecole Hardman,2019,KAN,WR,21,16,5,41,26,0,0,0,17,0,4,538,6,94,0,2,2
Zach Pascal,2019,IND,WR,25,16,13,72,41,0,0,1,16,0,2,607,5,94,0,0,0
LeSean McCoy,2019,KAN,RB,31,13,9,34,28,0,0,0,465,4,101,181,1,91,0,3,2
Dede Westbrook,2019,JAX,WR,26,15,11,101,66,0,0,0,27,0,5,660,3,91,0,1,0
Teddy Bridgewater,2019,NOR,QB,27,9,5,0,0,1384,9,196,31,0,28,0,0,90,2,1,0
James Washington,2019,PIT,WR,23,15,10,80,44,0,0,0,0,0,0,735,3,90,0,1,1
Sammy Watkins,2019,KAN,WR,26,14,13,90,52,0,0,0,12,0,2,673,3,87,0,2,1
Gus Edwards,2019,BAL,RB,24,16,1,7,7,0,0,0,711,2,133,45,0,86,0,2,1
DeAndre Washington,2019,OAK,RB,26,16,3,41,36,0,0,0,387,3,108,292,0,86,0,0,0
Tarik Cohen,2019,CHI,RB,24,16,11,104,79,0,0,0,213,0,64,456,3,85,0,3,0
Joe Flacco,2019,DEN,QB,34,8,8,0,0,1822,6,262,20,0,12,0,0,85,5,8,3
Will Fuller,2019,HOU,WR,25,11,11,71,49,0,0,0,0,0,0,670,3,85,0,1,0
Marcus Mariota,2019,TEN,QB,26,7,6,0,0,1203,7,160,129,0,24,0,0,85,2,3,0
Hunter Renfrow,2019,OAK,WR,24,13,4,71,49,0,0,0,0,0,0,605,4,85,0,1,0
Sterling Shepard,2019,NYG,WR,26,10,10,83,57,0,0,0,72,0,6,576,3,85,0,0,0
Matt Breida,2019,SFO,RB,24,13,5,22,19,0,0,0,623,1,123,120,1,84,0,2,1
Adam Thielen,2019,MIN,WR,29,10,10,48,30,0,0,0,6,1,4,418,6,84,0,0,0
Taysom Hill,2019,NOR,QB,29,16,5,22,19,55,0,6,156,1,27,234,6,83,0,0,0
Frank Gore,2019,BUF,RB,36,16,8,16,13,0,0,0,599,2,166,100,0,82,0,0,0
T.Y. Hilton,2019,IND,WR,30,10,10,68,45,0,0,0,0,0,0,501,5,80,0,0,0
Kenny Stills,2019,HOU,WR,27,13,5,55,40,0,0,0,0,0,0,561,4,80,0,0,0
Danny Amendola,2019,DET,WR,34,15,10,97,62,19,1,1,0,0,0,678,1,79,0,0,0
Alshon Jeffery,2019,PHI,WR,29,10,10,73,43,0,0,0,2,1,1,490,4,79,0,0,0
Dwayne Haskins,2019,WAS,QB,22,9,7,0,0,1365,7,203,101,0,20,0,0,77,7,6,2
Jason Witten,2019,DAL,TE,37,16,16,83,63,0,0,0,0,0,0,529,4,77,0,1,1
Brandin Cooks,2019,LAR,WR,26,14,14,72,42,0,0,0,52,0,6,583,2,76,0,0,0
Darren Fells,2019,HOU,TE,33,16,14,48,34,0,0,0,0,0,0,341,7,76,0,0,0
Anthony Miller,2019,CHI,WR,25,16,7,85,52,0,0,0,-1,0,1,656,2,76,0,1,1
Steven Sims,2019,WAS,WR,22,16,2,56,34,0,0,1,85,1,9,310,4,76,0,1,0
Kerryon Johnson,2019,DET,RB,22,8,7,15,10,0,0,0,403,3,113,127,1,75,0,1,1
Kyle Rudolph,2019,MIN,TE,30,16,16,48,39,0,0,0,0,0,0,367,6,75,0,0,0
Rex Burkhead,2019,NWE,RB,29,13,1,38,27,0,0,0,302,3,65,279,0,74,0,1,1
Nyheim Hines,2019,IND,RB,23,16,2,58,44,0,0,0,199,2,52,320,0,74,0,1,1
Tony Pollard,2019,DAL,RB,22,15,0,20,15,0,0,0,455,2,86,107,1,74,0,1,1
Boston Scott,2019,PHI,RB,24,11,2,26,24,0,0,0,245,5,61,204,0,73,0,4,1
Corey Davis,2019,TEN,WR,24,15,11,69,43,0,0,0,0,0,0,601,2,72,0,1,0
Phillip Dorsett,2019,NWE,WR,26,14,4,54,29,0,0,0,21,0,3,397,5,72,0,0,0
Greg Olsen,2019,CAR,TE,34,14,14,82,52,0,0,0,0,0,0,597,2,72,0,0,0
Chase Edmonds,2019,ARI,RB,23,13,2,21,12,0,0,0,303,4,60,105,1,71,0,0,0
Noah Fant,2019,DEN,TE,22,16,11,66,40,0,0,0,-12,0,3,562,3,71,0,1,1
JuJu Smith-Schuster,2019,PIT,WR,23,12,12,70,42,0,0,0,0,0,0,552,3,71,0,1,1
Jonnu Smith,2019,TEN,TE,24,16,14,44,35,0,0,0,78,0,4,439,3,70,0,0,0
Jack Doyle,2019,IND,TE,29,16,16,72,43,0,0,0,0,0,0,448,4,69,0,1,0
Demarcus Robinson,2019,KAN,WR,25,16,10,55,32,0,0,0,0,0,0,449,4,69,0,0,0
Kendrick Bourne,2019,SFO,WR,24,16,0,44,30,0,0,0,0,0,0,358,5,68,0,0,0
Allen Lazard,2019,GNB,WR,24,16,3,52,35,0,0,0,21,0,1,477,3,68,0,0,0
Drew Lock,2019,DEN,QB,23,5,5,0,0,1020,7,156,72,0,18,0,0,68,3,3,1
Rashaad Penny,2019,SEA,RB,23,10,0,11,8,0,0,0,370,3,65,83,1,67,0,1,1
John Ross,2019,CIN,WR,24,8,8,56,28,0,0,0,4,0,3,506,3,67,0,1,1
Evan Engram,2019,NYG,TE,25,8,6,68,44,0,0,0,7,0,3,467,3,65,0,0,0
Mohamed Sanu,2019,2TM,WR,30,15,12,89,59,0,0,0,11,0,3,520,2,65,0,0,0
Tyler Eifert,2019,CIN,TE,29,16,4,63,43,0,0,0,0,0,0,436,3,64,0,0,0
Ryan Griffin,2019,NYJ,TE,29,13,13,41,34,0,0,0,0,0,0,320,5,64,0,0,0
Kareem Hunt,2019,CLE,RB,24,8,3,44,37,0,0,0,179,2,43,285,1,64,0,1,0
Willie Snead,2019,BAL,WR,27,16,11,46,31,0,0,0,2,0,2,339,5,64,0,0,0
Jimmy Graham,2019,GNB,TE,33,16,10,60,38,0,0,0,0,0,0,447,3,63,0,1,0
Auden Tate,2019,CIN,WR,22,12,10,80,40,0,0,0,0,0,0,575,1,62,0,1,1
Taylor Gabriel,2019,CHI,WR,28,9,7,48,29,0,0,0,20,0,3,353,4,61,0,0,0
Preston Williams,2019,MIA,WR,22,8,7,60,32,0,0,0,0,0,0,428,3,59,0,2,1
Alexander Mattison,2019,MIN,RB,21,13,0,12,10,0,0,0,462,1,100,82,0,58,0,1,1
Marquez Valdes-Scantling,2019,GNB,WR,25,16,10,56,26,0,0,0,9,0,2,452,2,58,0,0,0
Malcolm Brown,2019,LAR,RB,26,14,1,6,2,0,0,0,255,5,69,16,0,57,0,0,0
Jeff Driskel,2019,DET,QB,26,3,3,1,1,685,4,105,151,1,22,6,0,57,4,1,0
Brian Hill,2019,ATL,RB,24,12,2,14,10,0,0,0,323,2,78,69,1,57,0,0,0
Jaylen Samuels,2019,PIT,RB,23,14,4,57,47,35,0,5,175,1,66,305,1,57,1,1,1
Tajae Sharpe,2019,TEN,WR,25,15,6,35,25,0,0,0,0,0,0,329,4,57,0,0,0
Eric Ebron,2019,IND,TE,26,11,2,52,31,0,0,0,0,0,0,375,3,56,0,0,0
Ted Ginn Jr.,2019,NOR,WR,34,16,9,56,30,0,0,0,18,0,3,421,2,56,0,0,0
Nelson Agholor,2019,PHI,WR,26,11,10,69,39,0,0,0,7,0,2,363,3,55,0,2,1
Cameron Brate,2019,TAM,TE,28,16,6,55,36,0,0,0,0,0,0,311,4,55,0,0,0
Keelan Cole,2019,JAX,WR,26,16,1,35,24,0,0,0,6,0,1,361,3,55,0,0,0
Blake Jarwin,2019,DAL,TE,25,16,7,41,31,0,0,0,0,0,0,365,3,55,0,1,0
Benny Snell Jr.,2019,PIT,RB,21,13,2,4,3,0,0,0,426,2,108,23,0,55,0,1,1
Jordan Akins,2019,HOU,TE,27,16,9,55,36,0,0,0,0,0,0,418,2,54,0,0,0
David Blough,2019,DET,QB,24,5,5,1,1,984,4,174,31,0,8,19,1,54,6,1,0
Eli Manning,2019,NYG,QB,38,4,4,0,0,1042,6,147,7,0,4,0,0,54,5,3,1
Alex Erickson,2019,CIN,WR,27,16,6,78,43,26,0,1,33,0,5,529,0,53,0,4,2
Gerald Everett,2019,LAR,TE,25,13,2,60,37,0,0,0,0,0,1,408,2,53,0,0,0
Jacob Hollister,2019,SEA,TE,26,11,3,59,41,0,0,0,0,0,0,349,3,53,0,0,0
Tre'Quan Smith,2019,NOR,WR,23,11,6,25,18,0,0,0,0,0,0,234,5,53,0,0,0
Darrel Williams,2019,KAN,RB,24,12,0,19,15,0,0,0,141,3,41,167,1,53,0,1,1
Allen Hurns,2019,MIA,WR,28,14,7,47,32,0,0,0,0,0,0,416,2,52,0,1,1
Dawson Knox,2019,BUF,TE,23,15,11,50,28,0,0,0,9,0,1,388,2,52,0,0,0
Chris Thompson,2019,WAS,RB,29,11,0,58,42,0,0,0,138,0,37,378,0,52,0,1,0
Will Dissly,2019,SEA,TE,23,6,6,27,23,0,0,0,7,0,1,262,4,51,0,1,0
Devlin Hodges,2019,PIT,QB,23,8,6,0,0,1063,5,160,68,0,21,0,0,51,8,5,1
Russell Gage,2019,ATL,WR,23,16,4,74,49,0,0,0,12,0,4,446,1,50,0,1,1
Derrius Guice,2019,WAS,RB,22,5,1,9,7,0,0,0,245,2,42,79,1,50,0,0,0
O.J. Howard,2019,TAM,TE,25,14,14,53,34,0,0,0,0,0,0,459,1,50,0,1,1
Adam Humphries,2019,TEN,WR,26,12,3,47,37,0,0,0,1,0,1,374,2,50,0,1,0
J.D. McKissic,2019,DET,RB,26,16,3,42,34,0,0,0,205,0,38,233,1,50,0,0,0
T.J. Hockenson,2019,DET,TE,22,12,7,59,32,0,0,0,0,0,0,367,2,49,0,0,0
Demaryius Thomas,2019,NYJ,WR,32,11,10,58,36,0,0,0,0,0,0,433,1,49,0,0,0
Olabisi Johnson,2019,MIN,WR,22,16,6,45,31,0,0,0,6,0,1,294,3,48,0,0,0
Mike Boone,2019,MIN,RB,24,16,2,4,3,0,0,0,273,3,49,17,0,47,0,0,0
Josh Gordon,2019,2TM,WR,28,11,7,47,27,0,0,1,1,0,1,426,1,47,1,0,0
Hayden Hurst,2019,BAL,TE,26,16,4,39,30,0,0,0,0,0,0,349,2,47,0,0,0
Foster Moreau,2019,OAK,TE,22,13,7,25,21,0,0,0,0,0,0,174,5,47,0,0,0
Jalen Richard,2019,OAK,RB,26,16,0,43,36,0,0,0,145,0,39,323,0,47,0,2,0
Jordan Wilkins,2019,IND,RB,25,14,1,11,7,0,0,0,307,2,51,43,0,47,0,0,0
Vance McDonald,2019,PIT,TE,29,14,14,55,38,0,0,0,2,0,1,273,3,46,0,1,0
Albert Wilson,2019,MIA,WR,27,13,4,62,43,20,0,2,45,0,5,351,1,46,0,0,0
Patrick Laird,2019,MIA,RB,24,15,4,30,23,0,0,0,168,1,62,204,0,45,0,0,0
Ricky Seals-Jones,2019,CLE,TE,24,14,3,22,14,0,0,0,0,0,0,229,4,45,0,1,1
Kaden Smith,2019,NYG,TE,22,9,6,42,31,0,0,0,0,0,0,268,3,45,0,2,0
Nick Boyle,2019,BAL,TE,26,16,15,43,31,0,0,0,0,0,0,321,2,44,0,0,0
Jeff Wilson,2019,SFO,RB,24,10,0,5,3,0,0,0,105,4,27,34,1,44,0,0,0
David Moore,2019,SEA,WR,24,14,1,34,17,0,0,0,25,0,3,301,2,43,0,2,1
Irv Smith Jr.,2019,MIN,TE,21,16,7,47,36,0,0,0,0,0,0,311,2,43,0,1,0
Brandon Bolden,2019,NWE,RB,29,15,2,11,9,0,0,0,68,3,15,111,1,42,0,0,0
Justice Hill,2019,BAL,RB,22,16,0,15,8,0,0,0,225,2,58,70,0,42,0,0,0
Cody Latimer,2019,NYG,WR,27,15,10,42,24,0,0,0,0,0,0,300,2,42,0,0,0
Matt Moore,2019,KAN,QB,35,6,2,0,0,659,4,91,-1,0,5,0,0,42,0,2,0
Bo Scarbrough,2019,DET,RB,25,6,5,4,1,0,0,0,377,1,89,5,0,42,0,1,1
Geronimo Allison,2019,GNB,WR,25,16,6,55,34,0,0,0,7,0,1,287,2,41,0,2,1
Josh Hill,2019,NOR,TE,29,16,11,35,25,0,0,0,0,0,0,226,3,41,0,0,0
Dion Lewis,2019,TEN,RB,29,16,1,32,25,0,0,0,209,0,54,164,1,41,0,1,1
Josh Reynolds,2019,LAR,WR,24,16,2,43,21,0,0,0,23,0,5,326,1,41,0,0,0
Damiere Byrd,2019,ARI,WR,26,11,3,46,32,0,0,0,0,0,0,359,1,40,0,1,1
Marcus Johnson,2019,IND,WR,25,8,6,33,17,0,0,0,0,0,0,277,2,40,0,0,0
Dare Ogunbowale,2019,TAM,RB,25,16,0,46,35,0,0,0,17,2,11,286,0,40,0,2,1
Seth Roberts,2019,BAL,WR,28,16,0,35,21,0,0,0,0,0,0,271,2,39,0,0,0
Kalen Ballage,2019,MIA,RB,24,12,6,24,14,0,0,0,135,3,74,63,0,38,0,0,0
Giovani Bernard,2019,CIN,RB,28,16,2,43,30,0,0,0,170,0,53,234,0,38,0,2,1
Miles Boykin,2019,BAL,WR,23,16,11,22,13,0,0,0,0,0,0,198,3,38,0,0,0
Nick Foles,2019,JAX,QB,30,4,4,0,0,736,3,117,23,0,4,0,0,38,2,2,2
Ryquell Armstead,2019,JAX,RB,23,16,1,24,14,0,0,0,108,0,35,144,2,37,0,0,0
Wayne Gallman,2019,NYG,RB,25,10,2,15,11,0,0,0,110,2,29,102,1,37,0,0,1
Kelvin Harmon,2019,WAS,WR,23,16,8,44,30,11,0,1,0,0,0,365,0,37,0,0,0
Paul Richardson,2019,WAS,WR,27,10,6,42,28,0,0,0,0,0,1,245,2,37,0,0,0
