Player,Season,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,Int,Fumbles,FumblesLost,PPR,Rank,Avg Pick,rookie_season,No.,Round,Pick,College,current_yr,FPPG
DeAndre Hopkins,2016,HOU,WR,24,16,16,151.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,954.0,4.0,0.0,0.0,0.0,197.4,6,12.67,2013.0,2,1,27,Clemson,4.0,12.3375
DeAndre Hopkins,2017,HOU,WR,25,15,15,174.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,1378.0,13.0,0.0,1.0,1.0,309.8,28,30.06,2013.0,2,1,27,Clemson,5.0,20.653333333333332
DeAndre Hopkins,2018,HOU,WR,26,16,16,163.0,115.0,0.0,0.0,1.0,-7.0,0.0,1.0,1572.0,11.0,0.0,2.0,2.0,333.5,8,9.54,2013.0,2,1,27,Clemson,6.0,20.84375
DeAndre Hopkins,2019,HOU,WR,27,15,15,150.0,104.0,6.0,1.0,2.0,18.0,0.0,2.0,1165.0,7.0,1.0,0.0,0.0,266.54,5,5.83,2013.0,2,1,27,Clemson,7.0,17.769333333333336
DeAndre Hopkins,2020,ARI,WR,28,16,16,160.0,115.0,0.0,0.0,0.0,1.0,0.0,1.0,1407.0,6.0,0.0,3.0,2.0,287.8,20,17.81,2013.0,2,1,27,Clemson,8.0,17.9875
DeAndre Hopkins,2021,ARI,WR,29,10,10,64.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,572.0,8.0,0.0,0.0,0.0,147.2,17,17.84,2013.0,2,1,27,Clemson,9.0,14.719999999999999
DeAndre Hopkins,2022,ARI,WR,30,9,9,96.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,717.0,3.0,0.0,2.0,1.0,151.7,90,86.29,2013.0,2,1,27,Clemson,10.0,16.855555555555554
Hakeem Nicks,2013,NYG,WR,25,15,15,101.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,896.0,0.0,0.0,0.0,0.0,145.60000000000002,49,50.76,2009.0,5,1,29,North Carolina,5.0,9.706666666666669
Hakeem Nicks,2014,IND,WR,26,16,6,68.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,405.0,4.0,0.0,0.0,0.0,102.5,153,121.41,2009.0,5,1,29,North Carolina,6.0,6.40625
Roddy White,2013,ATL,WR,32,13,13,97.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,711.0,3.0,0.0,2.0,1.0,150.10000000000002,27,32.79,2005.0,6,1,27,Alabama-Birmingham,9.0,11.546153846153848
Roddy White,2014,ATL,WR,33,14,14,125.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,921.0,7.0,0.0,3.0,1.0,212.10000000000002,42,45.67,2005.0,6,1,27,Alabama-Birmingham,10.0,15.150000000000002
Roddy White,2015,ATL,WR,34,16,16,70.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,506.0,1.0,0.0,0.0,0.0,99.6,84,84.41,2005.0,6,1,27,Alabama-Birmingham,11.0,6.225
Robert Woods,2013,BUF,WR,21,14,14,85.0,40.0,0.0,0.0,0.0,16.0,0.0,2.0,587.0,3.0,0.0,0.0,0.0,118.30000000000001,216,136.26,2013.0,5,2,9,USC,1.0,8.450000000000001
Robert Woods,2014,BUF,WR,22,16,15,104.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,699.0,5.0,0.0,1.0,1.0,162.9,273,168.41,2013.0,5,2,9,USC,2.0,10.18125
Robert Woods,2015,BUF,WR,23,14,9,80.0,47.0,0.0,0.0,0.0,0.0,0.0,1.0,552.0,3.0,0.0,2.0,1.0,118.2,382,207.61,2013.0,5,2,9,USC,3.0,8.442857142857143
Robert Woods,2016,BUF,WR,24,13,10,76.0,51.0,0.0,0.0,0.0,6.0,0.0,1.0,613.0,1.0,0.0,0.0,0.0,118.9,305,196.25,2013.0,5,2,9,USC,4.0,9.146153846153847
Robert Woods,2017,LAR,WR,25,12,11,85.0,56.0,0.0,0.0,0.0,12.0,0.0,2.0,781.0,5.0,0.0,1.0,1.0,163.3,325,203.09,2013.0,5,2,9,USC,5.0,13.608333333333334
Robert Woods,2018,LAR,WR,26,16,16,130.0,86.0,0.0,0.0,0.0,157.0,1.0,19.0,1219.0,6.0,0.0,0.0,0.0,265.6,82,80.86,2013.0,5,2,9,USC,6.0,16.6
Robert Woods,2019,LAR,WR,27,15,15,139.0,90.0,0.0,0.0,0.0,115.0,1.0,17.0,1134.0,2.0,0.0,0.0,0.0,232.9,43,41.13,2013.0,5,2,9,USC,7.0,15.526666666666667
Robert Woods,2020,LAR,WR,28,16,16,129.0,90.0,0.0,0.0,0.0,155.0,2.0,24.0,936.0,6.0,0.0,2.0,1.0,245.10000000000002,46,44.46,2013.0,5,2,9,USC,8.0,15.318750000000001
Robert Woods,2021,LAR,WR,29,9,9,69.0,45.0,0.0,0.0,0.0,46.0,1.0,8.0,556.0,4.0,0.0,0.0,0.0,135.2,39,38.23,2013.0,5,2,9,USC,9.0,15.02222222222222
Robert Woods,2022,TEN,WR,30,17,15,91.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,527.0,2.0,0.0,1.0,1.0,115.7,107,95.75,2013.0,5,2,9,USC,10.0,6.805882352941176
Aaron Dobson,2013,NEP,WR,22,12,9,72.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,519.0,4.0,0.0,1.0,0.0,112.9,186,127.64,2013.0,6,2,27,Marshall,1.0,9.408333333333333
Aaron Dobson,2014,NEP,WR,23,4,1,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,6.800000000000001,234,147.98,2013.0,6,2,27,Marshall,2.0,1.7000000000000002
Randall Cobb,2013,GBP,WR,23,6,4,47.0,31.0,0.0,0.0,0.0,78.0,0.0,4.0,433.0,4.0,0.0,0.0,0.0,106.1,30,35.03,2011.0,7,2,32,Kentucky,3.0,17.683333333333334
Randall Cobb,2014,GBP,WR,24,16,16,127.0,91.0,0.0,0.0,0.0,37.0,0.0,11.0,1287.0,12.0,0.0,3.0,2.0,291.4,25,29.07,2011.0,7,2,32,Kentucky,4.0,18.2125
Randall Cobb,2015,GBP,WR,25,16,15,129.0,79.0,0.0,0.0,0.0,50.0,0.0,13.0,829.0,6.0,0.0,1.0,0.0,202.9,17,24.02,2011.0,7,2,32,Kentucky,5.0,12.68125
Randall Cobb,2016,GBP,WR,26,13,10,84.0,60.0,0.0,0.0,0.0,33.0,0.0,10.0,610.0,4.0,0.0,1.0,0.0,148.3,32,34.62,2011.0,7,2,32,Kentucky,6.0,11.407692307692308
Randall Cobb,2017,GBP,WR,27,15,14,92.0,66.0,10.0,0.0,1.0,17.0,0.0,9.0,653.0,4.0,0.0,1.0,0.0,157.4,89,87.19,2011.0,7,2,32,Kentucky,7.0,10.493333333333334
Randall Cobb,2018,GBP,WR,28,9,6,61.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,383.0,2.0,0.0,2.0,1.0,86.30000000000001,114,98.51,2011.0,7,2,32,Kentucky,8.0,9.58888888888889
Randall Cobb,2019,DAL,WR,29,15,6,83.0,55.0,0.0,0.0,1.0,11.0,0.0,3.0,828.0,3.0,0.0,2.0,1.0,154.9,379,178.58,2011.0,7,2,32,Kentucky,9.0,10.326666666666666
Randall Cobb,2020,HOU,WR,30,10,2,48.0,38.0,0.0,0.0,1.0,0.0,0.0,0.0,441.0,3.0,0.0,0.0,0.0,100.1,312,179.15,2011.0,7,2,32,Kentucky,10.0,10.01
