rookie_season,No.,Round,Pick,Player,College,Pos
2020,27,5,30,K.J. Osborn,Miami (FL),WR
2020,28,6,8,Donovan Peoples-Jones,Michigan,WR
2020,29,6,21,Quez Watkins,Southern Mississippi,WR
2020,30,6,22,James Proche,Southern Methodist,WR
2020,31,6,28,Isaiah Hodgins,Oregon State,WR
2020,32,6,33,Dezmon Patmon,Washington State,WR
2020,33,6,35,Freddie Swain,Florida,WR
2020,34,7,3,Jauan Jennings,Tennessee,WR
2020,35,7,6,K.J. Hill,Ohio State,WR
2020,36,7,32,Malcolm Perry,Navy,WR
2020,37,7,38,Tyrie Cleveland,Florida,WR
2019,1,1,25,Marquise Brown,Oklahoma,WR
2019,2,1,32,N'Keal Harry,Arizona State,WR
2019,3,2,4,Deebo Samuel,South Carolina,WR
2019,4,2,19,A.J. Brown,Mississippi,WR
2019,5,2,24,Mecole Hardman,Georgia,WR
2019,6,2,25,JJ Arcega-Whiteside,Stanford,WR
2019,7,2,27,Parris Campbell,Ohio State,WR
2019,8,2,30,Andy Isabella,Massachusetts,WR
2019,9,2,32,D.K. Metcalf,Mississippi,WR
2019,10,3,2,Diontae Johnson,Toledo,WR
2019,11,3,3,Jalen Hurd,Baylor,WR
2019,12,3,12,Terry McLaurin,Ohio State,WR
2019,13,3,29,Miles Boykin,Notre Dame,WR
2019,14,4,1,Hakeem Butler,Iowa State,WR
2019,15,4,18,Gary Jennings,West Virginia,WR
2019,16,4,24,Riley Ridley,Georgia,WR
2019,17,5,11,Hunter Renfrow,Clemson,WR
2019,18,5,26,EJ Speed,Tarleton State,WR
2019,19,5,33,Darius Slayton,Auburn,WR
2019,20,6,1,KeeSean Johnson,Fresno State,WR
2019,21,6,11,Travis Fulgham,Old Dominion,WR
2019,22,6,14,Juwann Winfree,Colorado,WR
2019,23,6,30,Marcus Green,Louisiana-Monroe,WR
2019,24,6,33,Kelvin Harmon,North Carolina State,WR
2019,25,6,35,Scotty Miller,Bowling Green,WR
2019,26,7,22,John Ursua,Hawaii,WR
2019,27,7,23,Terry Godwin,Georgia,WR
2019,28,7,25,Dillon Mitchell,Oregon,WR
2019,29,7,33,Olabisi Johnson,Colorado State,WR
2018,1,1,24,D.J. Moore,Maryland,WR
2018,2,1,26,Calvin Ridley,Alabama,WR
2018,3,2,8,Courtland Sutton,Southern Methodist,WR
2018,4,2,12,Dante Pettis,Washington,WR
2018,5,2,15,Christian Kirk,Texas A&M,WR
2018,6,2,19,Anthony Miller,Memphis,WR
2018,7,2,28,James Washington,Oklahoma State,WR
2018,8,2,29,DJ Chark,Louisiana State,WR
2018,9,3,17,Michael Gallup,Colorado State,WR
2018,10,3,27,Tre'Quan Smith,Central Florida,WR
2018,11,4,3,Keke Coutee,Texas Tech,WR
2018,12,4,5,Antonio Callaway,Florida,WR
2018,13,4,13,DaeSean Hamilton,Penn State,WR
2018,14,4,32,Jaleel Scott,New Mexico State,WR
2018,15,4,33,J'Mon Moore,Missouri,WR
2018,16,5,7,Justin Watson,Pennsylvania,WR
2018,17,5,22,Daurice Fountain,Northern Iowa,WR
2018,18,5,25,Jordan Lasley,UCLA,WR
2018,19,5,37,Marquez Valdes-Scantling,South Florida,WR
2018,20,6,1,Damion Ratley,Texas A&M,WR
2018,21,6,11,Deon Cain,Clemson,WR
2018,22,6,13,Ray-Ray McCloud,Clemson,WR
2018,23,6,17,Dylan Cantrell,Texas Tech,WR
2018,24,6,20,Russell Gage,Louisiana State,WR
2018,25,6,33,Equanimeous St. Brown,Notre Dame,WR
2018,26,6,34,Cedrick Wilson,Boise State,WR
2018,27,6,36,Braxton Berrios,Miami (FL),WR
2018,28,7,6,Javon Wims,Georgia,WR
2018,29,7,10,Marcell Ateman,Oklahoma State,WR
2018,30,7,22,Richie James,Middle Tennessee,WR
2018,31,7,35,Auden Tate,Florida State,WR
2018,32,7,37,Austin Proehl,North Carolina,WR
2018,33,7,38,Trey Quinn,Southern Methodist,WR
2017,1,1,5,Corey Davis,Western Michigan,WR
2017,2,1,7,Mike Williams,Clemson,WR
2017,3,1,9,John Ross,Washington,WR
2017,4,2,5,Zay Jones,East Carolina,WR
2017,5,2,8,Curtis Samuel,Ohio State,WR
2017,6,2,30,JuJu Smith-Schuster,USC,WR
2017,7,3,5,Cooper Kupp,Eastern Washington,WR
2017,8,3,8,Taywan Taylor,Western Kentucky,WR
2017,9,3,15,ArDarius Stewart,Alabama,WR
2017,10,3,18,Carlos Henderson,Louisiana Tech,WR
2017,11,3,20,Chris Godwin,Penn State,WR
2017,12,3,32,Kenny Golladay,Northern Illinois,WR
2017,13,3,34,Chad Williams,Grambling State,WR
2017,14,3,42,Amara Darboh,Michigan,WR
2017,15,4,3,Dede Westbrook,Oklahoma,WR
2017,16,4,10,Josh Reynolds,Texas A&M,WR
2017,17,4,12,Mack Hollins,North Carolina,WR
2017,18,4,22,Josh Malone,Tennessee,WR
2017,19,4,27,Ryan Switzer,North Carolina,WR
2017,20,4,33,Jehu Chesson,Michigan,WR
2017,21,4,35,Chad Hansen,California,WR
2017,22,5,22,Shelton Gibson,West Virginia,WR
2017,23,5,27,Rodney Adams,South Florida,WR
2017,24,5,29,Isaiah McKenzie,Georgia,WR
2017,25,5,32,DeAngelo Yancey,Purdue,WR
2017,26,5,34,Trent Taylor,Louisiana Tech,WR
2017,27,6,25,Robert Davis,Georgia State,WR
2017,28,7,1,Stacy Coley,Miami (FL),WR
2017,29,7,8,David Moore,East Central (OK),WR
2017,30,7,19,Isaiah Ford,Virginia Tech,WR
2017,31,7,21,Noah Brown,Ohio State,WR
2017,32,7,29,Malachi Dupre,Louisiana State,WR
2016,1,1,15,Corey Coleman,Baylor,WR
2016,2,1,21,Will Fuller,Notre Dame,WR
2016,3,1,22,Josh Doctson,Texas Christian,WR
2016,4,1,23,Laquon Treadwell,Mississippi,WR
2016,5,2,9,Sterling Shepard,Oklahoma,WR
2016,6,2,16,Michael Thomas,Ohio State,WR
2016,7,2,24,Tyler Boyd,Pittsburgh,WR
2016,8,3,22,Braxton Miller,Ohio State,WR
2016,9,3,23,Leonte Carroo,Rutgers,WR
2016,10,4,9,Chris Moore,Cincinnati,WR
2016,11,4,14,Malcolm Mitchell,Georgia,WR
2016,12,4,16,Ricardo Louis,Auburn,WR
2016,13,4,19,Pharoh Cooper,South Carolina,WR
2016,14,4,28,Demarcus Robinson,Florida,WR
2016,15,5,1,Tajae Sharpe,Massachusetts,WR
2016,16,5,15,Jordan Payton,UCLA,WR
2016,17,5,26,Trevor Davis,California,WR
2016,18,5,28,Tyreek Hill,West Alabama,WR
2016,19,5,35,Rashard Higgins,Colorado State,WR
2016,20,6,5,Moritz Boehringer,Colorado State,WR
2016,21,6,11,Jakeem Grant,Texas Tech,WR
2016,22,6,17,Kolby Listenbee,Texas Christian,WR
2016,23,6,24,Cody Core,Mississippi,WR
2016,24,6,31,Mike Thomas,Southern Mississippi,WR
2016,25,6,38,Aaron Burbridge,Michigan State,WR
2016,26,7,4,Devin Lucien,Arizona State,WR
2016,27,7,8,DeMarcus Ayers,Houston,WR
2016,28,7,9,Daniel Braverman,Western Michigan,WR
2016,29,7,17,Devin Fuller,UCLA,WR
2016,30,7,20,Charone Peake,Clemson,WR
2016,31,7,22,Kenny Lawler,California,WR
2015,1,1,4,Amari Cooper,Alabama,WR
2015,2,1,7,Kevin White,West Virginia,WR
2015,3,1,14,DeVante Parker,Louisville,WR
2015,4,1,20,Nelson Agholor,USC,WR
2015,5,1,26,Breshad Perriman,Central Florida,WR
2015,6,1,29,Phillip Dorsett,Miami (FL),WR
2015,7,2,5,Devin Smith,Ohio State,WR
2015,8,2,8,Dorial Green-Beckham,Missouri,WR
2015,9,2,9,Devin Funchess,Michigan,WR
2015,10,3,5,Tyler Lockett,Kansas State,WR
2015,11,3,6,Jaelen Strong,Arizona State,WR
2015,12,3,12,Chris Conley,Georgia,WR
2015,13,3,23,Sammie Coates,Auburn,WR
2015,14,3,30,Ty Montgomery,Stanford,WR
2015,15,4,6,Jamison Crowder,Duke,WR
2015,16,4,8,Justin Hardy,East Carolina,WR
2015,17,4,24,Vince Mayle,Washington State,WR
2015,18,4,33,DeAndre Smelter,Georgia Tech,WR
2015,19,5,3,Rashad Greene,Florida State,WR
2015,20,5,10,Stefon Diggs,Maryland,WR
2015,21,5,20,Tony Lippett,Michigan State,WR
2015,22,5,23,J.J. Nelson,Alabama-Birmingham,WR
2015,23,5,26,Kenny Bell,Nebraska,WR
2015,24,5,39,Keith Mumphery,Michigan State,WR
2015,25,6,8,Kaelin Clay,Utah,WR
2015,26,6,10,Geremy Davis,Connecticut,WR
2015,27,6,11,Evan Spencer,Ohio State,WR
2015,28,6,25,Bud Sasser,Missouri,WR
2015,29,6,28,Darren Waller,Georgia Tech,WR
2015,30,7,3,Neal Sterling,Monmouth,WR
2015,31,7,4,Andre Debose,Florida,WR
2015,32,7,16,Da'Ron Brown,Northern Illinois,WR
2015,33,7,17,Dezmin Lewis,Central Arkansas,WR
2015,34,7,21,Mario Alford,West Virginia,WR
2015,35,7,28,Tre McBride,William & Mary,WR
2014,1,1,4,Sammy Watkins,Clemson,WR
2014,2,1,7,Mike Evans,Texas A&M,WR
2014,3,1,12,Odell Beckham,Louisiana State,WR
2014,4,1,20,Brandin Cooks,Oregon State,WR
2014,5,1,28,Kelvin Benjamin,Florida State,WR
2014,6,2,7,Marqise Lee,USC,WR
2014,7,2,10,Jordan Matthews,Vanderbilt,WR
2014,8,2,13,Paul Richardson,Colorado,WR
2014,9,2,21,Davante Adams,Fresno State,WR
2014,10,2,24,Cody Latimer,Indiana,WR
2014,11,2,29,Allen Robinson,Penn State,WR
2014,12,2,31,Jarvis Landry,Louisiana State,WR
2014,13,3,22,Josh Huff,Oregon,WR
2014,14,3,26,Donte Moncrief,Mississippi,WR
2014,15,3,27,John Brown,Pittsburg State (KS),WR
2014,16,4,4,Jalen Saunders,Oklahoma,WR
2014,17,4,6,Bruce Ellington,South Carolina,WR
2014,18,4,15,Shaq Evans,UCLA,WR
2014,19,4,18,Martavis Bryant,Clemson,WR
2014,20,4,23,Kevin Norwood,Alabama,WR
2014,21,5,2,Ryan Grant,Tulane,WR
